,country,calories_reliancenorm,protein_reliancenorm,polyunsatFA_reliancenorm,vitaminA_reliancenorm,zinc_reliancenorm,iron_reliancenorm,mean
73,Afghanistan,NA,NA,NA,NA,NA,NA,NA
173,Albania,0.156240165,0.12424503,0.227010163,0.142128739,0.136932289,0.081050983,0.144601228
1,Algeria,0.1382628,0.120457922,0.13513068,0.199302454,0.105382786,0.099355145,0.132981964
152,American Samoa,NA,NA,NA,NA,NA,NA,NA
174,Andorra,NA,NA,NA,NA,NA,NA,NA
28,Angola,0.435347393,0.638945975,0.53935173,0.185589732,0.355242719,0.32041135,0.412481483
107,Anguilla,NA,NA,NA,NA,NA,NA,NA
108,Antigua and Barbuda,1.892712406,1.512509716,1.207613853,0.939732498,1.087400628,1.391749884,1.338619831
139,Argentina,0.121913998,0.10291524,0.067770293,0.013010721,0.079133783,0.087340195,0.078680705
60,Armenia,0.060563365,0.040946898,0.064816246,0.042027576,0.025513317,0.029554707,0.043903685
109,Aruba,NA,NA,NA,NA,NA,NA,NA
175,Australia,0.437172155,0.390551452,0.240930825,0.380271952,0.556715687,0.674550787,0.44669881
176,Austria,0.196493231,0.206072965,0.130136374,0.175588598,0.237180951,0.280104968,0.204262848
61,Azerbaijan,0.077668385,0.048837825,0.124538725,0.113716299,0.026741869,0.029193727,0.070116138
110,Bahamas,0.898488255,0.860721625,0.760491289,0.938037707,1.410840642,0.652578099,0.920192936
94,Bahrain,NA,NA,NA,NA,NA,NA,NA
74,Bangladesh,0.08136475,0.097008009,0.128493758,0.26449161,0.204030705,0.040184385,0.135928869
111,Barbados,1.346578407,1.233582736,0.888953937,2.300939346,1.116711311,0.768959657,1.275954232
177,Belarus,0.357001741,0.293474342,0.289603233,0.243767318,0.201372066,0.245300429,0.271753188
178,Belgium,0.349172779,0.368796416,0.197914594,0.173979244,0.630799684,0.776920052,0.416263795
131,Belize,0.433816103,0.462753039,0.427842012,0.126784896,0.400689134,0.313857743,0.360957155
43,Benin,0.225241473,0.307372733,0.206969226,0.203184409,0.125944194,0.334462249,0.233862381
179,Bermuda,NA,NA,NA,NA,NA,NA,NA
75,Bhutan,NA,NA,NA,NA,NA,NA,NA
140,Bolivia (Plurinational State of),0.037855439,0.036705241,0.029314731,0.021574556,0.014391784,0.016730203,0.026095326
180,Bosnia and Herzegovina,0.122275581,0.113748153,0.125960734,0.078374069,0.114009942,0.129861526,0.114038334
38,Botswana,0.112248549,0.119032794,0.130181193,0.151861581,0.065960356,0.060980529,0.106710834
141,Brazil,0.122071487,0.121826392,0.052568264,0.041865307,0.070494907,0.066802518,0.079271479
112,British Virgin Islands,NA,NA,NA,NA,NA,NA,NA
83,Brunei Darussalam,0.649921097,0.622813692,0.520481782,1.684167057,0.986601867,0.969005814,0.905498552
181,Bulgaria,0.144982505,0.129848484,0.117553966,0.203650854,0.150991135,0.18282215,0.154974849
44,Burkina Faso,0.182580353,0.198782689,0.16773882,0.189209134,0.065889022,0.155569764,0.15996163
7,Burundi,NA,NA,NA,NA,NA,NA,NA
231,Cote dIvoire,NA,NA,NA,NA,NA,NA,NA
45,Cabo Verde,0.401641814,0.433135777,0.383733911,0.356425582,0.280580475,0.283015768,0.356422221
84,Cambodia,NA,NA,NA,NA,NA,NA,NA
29,Cameroon,0.507760195,0.559941997,0.707783781,0.229777025,0.224683863,0.394802595,0.437458243
182,Canada,0.369600562,0.369363259,0.186127819,0.323219165,0.635549576,0.44233575,0.387699355
113,Cayman Islands,NA,NA,NA,NA,NA,NA,NA
