country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3671232222,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19243809663,21284923743,22101051955,25361507050,27592569519,32219074825,34037462001,41505186409,45555113006,49338254431,57500127993,59573450332,61435943662,62619006135,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34569336017,35291341121,33605213160,25906791102,27384156308,30862652597,34945786283,38351851583,41406142195,43401794411,45726453705,48742596951,46055962673,49439320644,56325455002,68754610654,85561283210,1.08E+11,1.25E+11,1.29E+11,1.35E+11,1.43E+11,1.53E+11,1.66E+11,1.78E+11,1.85E+11,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8944742648,6507715468,6176825661,6930872191,7665875101,8866586608,9850039915,8932819723,10039363360,11473507534,12438082811,13659433660,14506505449,15546952059,16723679412,17896842537,19854814600,21650252013,24251466868,25832022152,28100696752,29655482843,30530519326,30643070633,32720135193,33165000680,
Arab World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.44E+12,1.46E+12,1.57E+12,1.67E+12,1.76E+12,1.85E+12,1.97E+12,2.10E+12,2.25E+12,2.37E+12,2.54E+12,2.66E+12,2.73E+12,2.88E+12,3.25E+12,3.55E+12,3.92E+12,4.25E+12,4.60E+12,4.73E+12,5.01E+12,5.26E+12,5.64E+12,5.93E+12,6.19E+12,6.45E+12,
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.34E+11,1.40E+11,1.48E+11,1.53E+11,1.67E+11,1.82E+11,1.96E+11,2.16E+11,2.19E+11,2.29E+11,2.59E+11,2.69E+11,2.80E+11,3.10E+11,3.49E+11,3.78E+11,4.28E+11,4.53E+11,4.77E+11,4.55E+11,4.68E+11,5.03E+11,5.47E+11,5.82E+11,6.11E+11,6.41E+11,
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.29E+11,2.67E+11,3.05E+11,3.31E+11,3.58E+11,3.55E+11,3.82E+11,4.20E+11,4.40E+11,4.32E+11,4.38E+11,4.29E+11,3.88E+11,4.30E+11,4.82E+11,5.42E+11,6.04E+11,6.76E+11,7.18E+11,6.80E+11,7.59E+11,8.22E+11,8.29E+11,8.61E+11,8.54E+11,8.84E+11,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8558329069,7808540588,4648166189,4339987551,4671695182,5098201644,5495760948,5775463511,6264326459,6570077115,7116035772,7973754958,9163746289,10658796162,12098309164,14219082019,16590220304,19373470462,21116494555,18266187204,18896045357,20192628680,22045237582,23140511633,24402781264,25405295878,
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
