"","year","country","Q.exp","Q.imp","V.exp","V.imp","Q.balance","V.balance","UV.balance"
"1",2000,"Albania",1897,4965,5413,4608,0.382074521651561,1.17469618055556,3.07452110514409
"2",2000,"Algeria",1317,7930,4205,5823,0.166078184110971,0.722136355830328,4.34817107193204
"3",2000,"Angola",0,0,0,0,NA,NA,NA
"4",2000,"Antigua and Barbuda",27,1424,190,3002,0.0189606741573034,0.0632911392405063,3.33802156586967
"5",2000,"Argentina",527813,41877,801153,85240,12.6038875755188,9.39879164711403,0.745705766637416
"6",2000,"Armenia",31,806,95,698,0.0384615384615385,0.136103151862464,3.53868194842407
"7",2000,"Aruba",81,1705,246,9926,0.0475073313782991,0.0247833971388273,0.52167521137902
"8",2000,"Australia",63673,138081,985149,497845,0.461127888703008,1.97882674326347,4.29127535276432
"9",2000,"Austria",4401,43560,8766,156003,0.10103305785124,0.0561912270917867,0.556166746675353
"10",2000,"Azerbaijan",1738,2828,2101,1304,0.614568599717115,1.6111963190184,2.62167042012891
"11",2000,"Bahamas",3837,4060,108052,14767,0.945073891625616,7.31712602424324,7.74238510774761
"12",2000,"Bahrain",4726,2723,9559,4683,1.73558575100992,2.04121289771514,1.1760945240115
"13",2000,"Bangladesh",29907,0,342617,3258,Inf,105.16175567833,0
"14",2000,"Barbados",280,3773,1251,10842,0.0742115027829314,0.115384615384615,1.55480769230769
"15",2000,"Belarus",14008,86199,18941,72252,0.16250768570401,0.26215191274982,1.61316624265575
"16",2000,"Belgium",93516,220128,459460,1001077,0.424825556040122,0.458965693947618,1.08036272164444
"17",2000,"Belize",2663,408,32284,2555,6.52696078431373,12.6356164383562,1.93591119295881
"18",2000,"Benin",487,20910,1467,8597,0.0232902917264467,0.170640921251599,7.32669746072062
"19",2000,"Bermuda",4,0,18,0,Inf,Inf,NA
"20",2000,"Bhutan",0,0,0,0,NA,NA,NA
"21",2000,"Bolivia (Plurinat.State)",29,10814,24,9151,0.00268170889587572,0.00262266418970604,0.977982432671764
"22",2000,"Bosnia and Herzegovina",0,0,0,0,NA,NA,NA
"23",2000,"Botswana",17,4006,26,10112,0.00424363454817773,0.00257120253164557,0.605896314221891
"24",2000,"Brazil",57401,197081,239457,323870,0.29125587956221,0.739361472195634,2.53852891590369
"25",2000,"Brunei Darussalam",0,0,0,0,NA,NA,NA
"26",2000,"Bulgaria",3109,16904,7224,9948,0.183920965451964,0.726176115802171,3.94830526263104
"27",2000,"Burkina Faso",9,12315,3,1362,0.000730816077953715,0.00220264317180617,3.01395007342144
"28",2000,"Burundi",2,63,132,51,0.0317460317460317,2.58823529411765,81.5294117647059
"29",2000,"Cabo Verde",334,106,838,297,3.15094339622642,2.82154882154882,0.895461602048428
"30",2000,"Cambodia",43656,3174,16945,2724,13.7542533081285,6.22063142437592,0.452269656884945
"31",2000,"Cameroon",437,81485,938,27379,0.0053629502362398,0.0342598341794806,6.38824390872993
"32",2000,"Canada",482347,351219,2815999,1340056,1.37335110002591,2.10140397117732,1.53012872756113
"33",2000,"Cayman Islands",0,0,0,0,NA,NA,NA
"34",2000,"Central African Republic",22,583,40,221,0.0377358490566038,0.180995475113122,4.79638009049774
"35",2000,"Chad",0,0,0,0,NA,NA,NA
"36",2000,"Chile",553544,13255,1618630,29418,41.7611467370803,55.0217553878578,1.31753459104616
"37",2000,"China",1506029,1281119,3642124,1222228,1.17555746187513,2.9799055495374,2.53488718857194
"38",2000,"China, Hong Kong SAR",62948,319451,97619,1958020,0.197050564875364,0.049855976956313,0.253011083667013
"39",2000,"China, Macao SAR",318,10990,2619,13654,0.0289353958143767,0.191811923245935,6.62897181280764
"40",2000,"Colombia",92812,55808,190925,56335,1.66305905963303,3.38910091417414,2.03787165256896
"41",2000,"Comoros",0,454,0,335,0,0,NA
"42",2000,"Congo",0,0,0,0,NA,NA,NA
"43",2000,"Congo, Dem. Rep. of the",0,61583,0,26216,0,0,NA
"44",2000,"Cook Islands",14,0,115,0,Inf,Inf,NA
"45",2000,"Costa Rica",32956,18543,117666,19251,1.77727444318611,6.11220196353436,3.43908729851371
"46",2000,"Côte d'Ivoire",64777,230814,128840,129767,0.280645888031055,0.99285642728891,3.53775512000035
"47",2000,"Croatia",18094,25567,43852,33406,0.707709156334337,1.31269831766748,1.85485563655381
"48",2000,"Cuba",7650,31262,87456,39939,0.244706032883373,2.18973935251258,8.94844858016318
"49",2000,"Curaçao",0,0,0,0,NA,NA,NA
"50",2000,"Cyprus",750,8155,6372,26088,0.0919681177191907,0.2442502299908,2.6558141674333
"51",2000,"Czech Republic",12244,50305,25818,68379,0.243395288738694,0.377572061597859,1.55127103550149
"52",2000,"Czechoslovakia",0,0,0,0,NA,NA,NA
"53",2000,"Denmark",789274,698534,2563345,1742539,1.12990062044224,1.47104024644499,1.30192002715179
"54",2000,"Djibouti",0,0,0,0,NA,NA,NA
"55",2000,"Dominica",0,678,1,1627,0,0.000614628149969269,Inf
"56",2000,"Dominican Republic",1902,0,2959,0,Inf,Inf,NA
"57",2000,"Ecuador",205938,2594,568495,1480,79.3901310717039,384.118243243243,4.83836262842687
"58",2000,"Egypt",1008,153106,1234,114036,0.00658367405588285,0.0108211442000772,1.64363303958037
"59",2000,"El Salvador",3063,4834,26584,8545,0.633636739760033,3.11105909888824,4.90984645250596
"60",2000,"Equatorial Guinea",0,0,0,0,NA,NA,NA
"61",2000,"Eritrea",0,0,0,0,NA,NA,NA
"62",2000,"Estonia",96946,51270,76886,29785,1.89089135946948,2.58136645962733,1.36515852521087
"63",2000,"Ethiopia",8,54,13,102,0.148148148148148,0.127450980392157,0.860294117647059
"64",2000,"Ethiopia PDR",0,0,0,0,NA,NA,NA
"65",2000,"Falkland Is.(Malvinas)",64968,0,0,0,Inf,NA,NA
"66",2000,"Faroe Islands",159369,9669,396525,16210,16.4824697486814,24.4617520049352,1.48410719861277
"67",2000,"Fiji, Republic of",8872,8968,34418,8393,0.989295272078501,4.10079828428452,4.14517121432187
"68",2000,"Finland",15929,36800,17005,103453,0.432853260869565,0.164374160246682,0.379745690067041
"69",2000,"France",398643,860220,1062053,2945939,0.463419822836019,0.360514253689571,0.777943100239669
"70",2000,"French Guiana",0,0,0,0,NA,NA,NA
"71",2000,"French Polynesia",1751,2251,5762,9468,0.777876499333629,0.60857625686523,0.782355884753645
"72",2000,"Gabon",3295,11073,12584,9840,0.297570667389145,1.27886178861789,4.29767422924609
"73",2000,"Gambia",1474,834,3619,489,1.7673860911271,7.40081799591002,4.18743704788939
"74",2000,"Georgia",880,2795,136,1387,0.31484794275492,0.0980533525594809,0.311430818640624
"75",2000,"Germany",426518,784549,1008136,2149128,0.54364736938037,0.469090719584873,0.862858437298292
"76",2000,"Ghana",54681,169575,78464,54272,0.322459088898717,1.44575471698113,4.48352912587691
"77",2000,"Greece",78909,101858,216626,247023,0.774696145614483,0.87694668107828,1.13198792332017
"78",2000,"Greenland",103877,466,266269,1432,222.912017167382,185.942039106145,0.834149910215579
"79",2000,"Grenada",1079,651,3408,2155,1.65745007680492,1.58143851508121,0.95413945627235
"80",2000,"Guadeloupe",0,0,0,0,NA,NA,NA
"81",2000,"Guam",0,0,0,0,NA,NA,NA
"82",2000,"Guatemala",31509,3971,35062,7151,7.93477713422312,4.90309047685638,0.617924157656438
"83",2000,"Guinea",2236,1013,2195,317,2.20730503455084,6.92429022082019,3.1369883692714
"84",2000,"Guinea-Bissau",0,0,0,0,NA,NA,NA
"85",2000,"Guyana",21705,725,51304,902,29.9379310344828,56.8780487804878,1.89986571600339
"86",2000,"Haiti",0,0,0,0,NA,NA,NA
"87",2000,"Honduras",13179,4323,188693,15299,3.04857737682165,12.3336819399961,4.04571720362721
"88",2000,"Hungary",3360,14355,4803,22459,0.234064785788924,0.213856360479095,0.913663111511135
"89",2000,"Iceland",319226,44568,1086889,64756,7.16267276970023,16.7843751930323,2.34331174028138
"90",2000,"India",501943,4660,1416380,10960,107.713090128755,129.231751824818,1.19977759128756
"91",2000,"Indonesia",484666,43173,1606656,40516,11.2261367058115,39.6548524039885,3.53236856482072
"92",2000,"Iran (Islamic Rep. of)",6771,4919,49955,6128,1.37649928847327,8.15192558746736,5.92221562025579
"93",2000,"Iraq",104,56,242,99,1.85714285714286,2.44444444444444,1.31623931623932
"94",2000,"Ireland",193155,24987,302172,90197,7.73021971425141,3.35013359646108,0.433381419972421
"95",2000,"Israel",0,4515,8611,122622,0,0.0702239402391088,Inf
"96",2000,"Italy",136973,714391,374417,2490270,0.191733938417477,0.150351969866721,0.784169829857394
"97",2000,"Jamaica",811,23078,10001,51434,0.0351416933876419,0.194443364311545,5.53312449023654
"98",2000,"Japan",195129,3116770,802957,15486290,0.0626061595818748,0.0518495391730363,0.828185908851807
"99",2000,"Jordan",1158,12443,1664,20710,0.0930643735433577,0.0803476581361661,0.863355708280065
"100",2000,"Kazakhstan",17962,37294,12266,19662,0.481632434171717,0.623842945783745,1.29526772186054
"101",2000,"Kenya",16868,11307,38849,4114,1.49181922702751,9.44312105007292,6.32993654927523
"102",2000,"Kiribati",0,0,0,0,NA,NA,NA
"103",2000,"Korea, Dem. People's Rep",0,0,0,0,NA,NA,NA
"104",2000,"Korea, Republic of",493806,685524,1467849,1347874,0.720333642585818,1.08901054549609,1.51181408324456
"105",2000,"Kuwait",510,11026,5014,25688,0.0462543079992744,0.195188414824042,4.2198969840194
"106",2000,"Kyrgyzstan",52,3255,48,1893,0.0159754224270353,0.0253565768621236,1.58722418627331
"107",2000,"Lao People's Dem. Rep.",0,0,0,0,NA,NA,NA
"108",2000,"Latvia",91890,31136,47658,35364,2.95124614594039,1.3476416694944,0.456634791831295
"109",2000,"Lebanon",37,13502,112,41295,0.00274033476521997,0.00271219275941397,0.989730449665066
"110",2000,"Lesotho",0,0,0,7827,NA,0,NA
"111",2000,"Liberia",0,0,0,0,NA,NA,NA
"112",2000,"Libya",0,0,0,0,NA,NA,NA
"113",2000,"Lithuania",28988,59593,33178,53676,0.486432970315305,0.618116104031597,1.27071177685784
"114",2000,"Luxembourg",6107,12822,22510,65407,0.476290750272968,0.344152766523461,0.722568654390669
"115",2000,"Macedonia, Fmr Yug Rp of",55,5000,98,6635,0.011,0.0147701582516956,1.34274165924505
"116",2000,"Madagascar",14113,143,37383,303,98.6923076923077,123.376237623762,1.25010996812854
"117",2000,"Malawi",42,1485,143,515,0.0282828282828283,0.277669902912621,9.81761442441054
"118",2000,"Malaysia",82247,314674,194188,300027,0.261372086667472,0.647235082175938,2.47629764305848
"119",2000,"Maldives",23001,0,30136,0,Inf,Inf,NA
"120",2000,"Mali",611,2744,96,1739,0.222667638483965,0.0552041403105233,0.247921703784085
"121",2000,"Malta",1992,6187,7708,15910,0.321965411346371,0.484475172847266,1.50474291887853
"122",2000,"Marshall Islands",0,0,0,0,NA,NA,NA
"123",2000,"Martinique",0,0,0,0,NA,NA,NA
"124",2000,"Mauritania",85797,120,87004,29,714.975,3000.13793103448,4.19614382465748
"125",2000,"Mauritius",18160,42173,36659,40488,0.430607260569559,0.905428769017981,2.10267882575965
"126",2000,"Mayotte",4,610,10,1057,0.00655737704918033,0.00946073793755913,1.44276253547777
"127",2000,"Mexico",173985,53828,706969,112754,3.23223972653637,6.27001259378825,1.93983526107672
"128",2000,"Micronesia, Fed.States of",0,0,0,0,NA,NA,NA
"129",2000,"Moldova, Republic of",3,12609,5,3499,0.000237925291458482,0.00142897970848814,6.00600171477565
"130",2000,"Mongolia",427,323,222,225,1.32198142414861,0.986666666666667,0.746354410616706
"131",2000,"Montenegro",0,0,0,0,NA,NA,NA
"132",2000,"Morocco",306751,12430,963925,8157,24.6782783588093,118.17150913326,4.78848270592898
"133",2000,"Mozambique",0,0,99639,8642,NA,11.5296227725064,NA
"134",2000,"Myanmar",116609,0,183707,0,Inf,Inf,NA
"135",2000,"Namibia",387790,89476,276702,19915,4.33401135500022,13.8941501380869,3.20584073275603
"136",2000,"Nepal",0,0,0,340,NA,0,NA
"137",2000,"Netherlands",672380,542196,1327484,1120127,1.24010505426082,1.18511918737786,0.955660315475663
"138",2000,"Netherlands Antilles",0,0,0,0,NA,NA,NA
"139",2000,"New Caledonia",2287,1716,18719,4763,1.33275058275058,3.93008608020155,2.94885339467681
"140",2000,"New Zealand",249271,18514,641640,48138,13.4639191962839,13.329178611492,0.989992469293107
"141",2000,"Nicaragua",12028,3688,127787,7214,3.26138828633406,17.7137510396451,5.4313529958606
"142",2000,"Niger",1618,898,1599,504,1.80178173719376,3.17261904761905,1.76082317970451
"143",2000,"Nigeria",2251,272145,11429,154509,0.00827132594756472,0.0739698011119093,8.94291937965374
"144",2000,"Northern Mariana Is.",0,NA,0,NA,NA,NA,NA
"145",2000,"Norway",1820144,417865,3453722,439105,4.35581826666507,7.86536705343824,1.80571515428723
"146",2000,"Oman",37396,11197,51123,5426,3.33982316691971,9.42185772207888,2.82106484421107
"147",2000,"Pakistan",84694,92,149403,250,920.586956521739,597.612,0.649164096630222
"148",2000,"Palau",0,0,0,0,NA,NA,NA
"149",2000,"Palestine, Occupied Tr.",0,0,0,0,NA,NA,NA
"150",2000,"Panama",62149,8414,243460,15377,7.38637984311861,15.8327372049164,2.14350433381337
"151",2000,"Papua New Guinea",10234,8580,55226,11105,1.19277389277389,4.97307519135525,4.16933605059879
"152",2000,"Paraguay",26,715,45,1579,0.0363636363636364,0.0284990500316656,0.783723875870804
"153",2000,"Peru",107142,27767,174521,15929,3.85860914034645,10.9561805511959,2.83941185870207
"154",2000,"Philippines",213477,161820,453386,73634,1.31922506488691,6.15729146861504,4.6673548225396
"155",2000,"Poland",150373,272007,235225,295034,0.552827684581647,0.797280991343371,1.44218716533112
"156",2000,"Portugal",92199,300851,283848,854496,0.306460673223622,0.33218177732839,1.08392954252241
"157",2000,"Qatar",1509,3018,1586,5555,0.5,0.285508550855086,0.571017101710171
"158",2000,"Réunion",0,0,0,0,NA,NA,NA
"159",2000,"Romania",358,35925,2925,20413,0.0099652052887961,0.143291040023514,14.3791357900692
"160",2000,"Russian Federation",1190965,470758,1514652,176897,2.52988796791557,8.56233853598422,3.38447340142058
"161",2000,"Rwanda",0,0,0,0,NA,NA,NA
"162",2000,"Saint Helena",0,0,0,0,NA,NA,NA
"163",2000,"Saint Kitts and Nevis",73,613,245,2484,0.119086460032626,0.0986312399355878,0.828232192883771
"164",2000,"Saint Lucia",2,1202,28,4764,0.00166389351081531,0.00587741393786734,3.53232577665827
"165",2000,"Saint Vincent/Grenadines",246,418,957,1144,0.588516746411483,0.836538461538462,1.42143527204503
"166",2000,"Samoa",0,0,0,0,NA,NA,NA
"167",2000,"Sao Tome and Principe",0,19,0,63,0,0,NA
"168",2000,"Saudi Arabia",2281,70891,8362,104821,0.0321761577633268,0.0797740910695376,2.479292016664
"169",2000,"Senegal",86449,0,259710,0,Inf,Inf,NA
"170",2000,"Serbia",0,0,0,0,NA,NA,NA
"171",2000,"Serbia and Montenegro",253,10609,609,12586,0.023847676501084,0.0483870967741935,2.02900675761826
"172",2000,"Seychelles",42427,19092,113149,10485,2.22223968154201,10.7915116833572,4.85614210428866
"173",2000,"Sierra Leone",0,0,0,0,NA,NA,NA
"174",2000,"Singapore",105862,175686,453063,538882,0.602563664720012,0.840746211601056,1.39528196077292
"175",2000,"Slovakia",677,21838,1798,26465,0.0310010074182617,0.0679387870772719,2.19150255863141
"176",2000,"Slovenia",2289,9363,6198,25543,0.244472925344441,0.242649649610461,0.992542013675292
"177",2000,"Solomon Islands",868,0,885,0,Inf,Inf,NA
"178",2000,"Somalia",1000,0,1800,0,Inf,Inf,NA
"179",2000,"South Africa",139703,27380,269476,54059,5.10237399561724,4.98484988623541,0.976966778702859
"180",2000,"Spain",762915,1215795,1593906,3301988,0.627502991869518,0.482711021360465,0.76925692405438
"181",2000,"Sri Lanka",19009,80612,134431,67673,0.235808564481715,1.98647909801546,8.42411768368783
"182",2000,"St. Pierre and Miquelon",0,0,0,0,NA,NA,NA
"183",2000,"Sudan",0,0,0,0,NA,NA,NA
"184",2000,"Sudan (former)",150,241,222,329,0.622406639004149,0.674772036474164,1.08413373860182
"185",2000,"Suriname",16226,1884,40858,6211,8.61252653927813,6.57832877153437,0.763809405002512
"186",2000,"Swaziland",1658,5493,2574,8565,0.301838703804843,0.300525394045534,0.99564896833059
"187",2000,"Sweden",259718,193898,458150,704538,1.33945682781669,0.650284299782269,0.485483582805898
"188",2000,"Switzerland",154,55957,2535,349795,0.00275211322980145,0.00724710187395475,2.63328623091484
"189",2000,"Syrian Arab Republic",0,7776,0,33035,0,0,NA
"190",2000,"Taiwan Province of China",695411,145750,1759067,420655,4.7712590051458,4.18173324933734,0.876442306910471
"191",2000,"Tanzania, United Rep. of",47998,319,97379,444,150.46394984326,219.322072072072,1.45763867225699
"192",2000,"Thailand",1149127,678007,4361378,731880,1.69486008256552,5.95914357544953,3.51600916013618
"193",2000,"Timor-Leste",0,0,0,0,NA,NA,NA
"194",2000,"Togo",6441,30348,3011,11882,0.212238038750494,0.253408517084666,1.19398256116837
"195",2000,"Tonga",1272,695,3757,1076,1.83021582733813,3.49163568773234,1.90777264384747
"196",2000,"Trinidad and Tobago",4362,3506,10623,6617,1.24415288077581,1.60541030678555,1.29036417597206
"197",2000,"Tunisia",13393,11592,86320,11690,1.1553657694962,7.38408896492729,6.39112665432966
"198",2000,"Turkey",33835,44014,88743,37705,0.768732675966738,2.35361357910091,3.06168015577206
"199",2000,"Turkmenistan",0,0,0,0,NA,NA,NA
"200",2000,"Turks and Caicos Is.",0,0,1802,2001,NA,0.900549725137431,NA
"201",2000,"Tuvalu",0,0,0,0,NA,NA,NA
"202",2000,"Uganda",14514,87,28889,98,166.827586206897,294.785714285714,1.76700820882301
"203",2000,"Ukraine",83711,234517,0,0,0.35695066882145,NA,NA
"204",2000,"Un. Sov. Soc. Rep.",0,0,0,0,NA,NA,NA
"205",2000,"United Arab Emirates",0,0,22055,83194,NA,0.265103252638411,NA
"206",2000,"United Kingdom",644599,558505,1238426,2051269,1.15415081333202,0.603736516273585,0.523100195658663
"207",2000,"United States of America",969463,1737175,2966661,10477563,0.558068703498496,0.283144181523891,0.507364379598566
"208",2000,"Uruguay",76410,7481,108952,12315,10.213875150381,8.84709703613479,0.866184176512556
"209",2000,"Uzbekistan",0,0,0,0,NA,NA,NA
"210",2000,"Vanuatu",22,1005,270,1487,0.0218905472636816,0.181573638197714,8.29461392675919
"211",2000,"Venezuela, Boliv Rep of",43130,28816,152959,39744,1.4967379233759,3.84860607890499,2.57132930140798
"212",2000,"Viet Nam",291923,0,1478610,28219,Inf,52.3976753251355,0
"213",2000,"Yemen",26673,3665,6377,4909,7.27776261937244,1.2990425748625,0.178494771374463
"214",2000,"Yugoslavia SFR",0,0,0,0,NA,NA,NA
"215",2000,"Zambia",710,1374,420,1247,0.516739446870451,0.336808340016038,0.651795294622587
"216",2000,"Zimbabwe",817,7601,4305,7801,0.107485857124063,0.551852326624792,5.13418547695844
"217",2001,"Albania",2007,5445,6889,5238,0.368595041322314,1.31519663993891,3.56813438189704
