country,species,area,environment,unit,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Albania,European seabass,Mediterranean and Black Sea,Marine,USD 1000,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,443.7,512.14,1105.87,996.03,910.49,1180.22,1178.93,1206.99,860.04
Albania,Gilthead seabream,Mediterranean and Black Sea,Marine,USD 1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278.76,570.82,823,1556.72,1001.3,1509.6,2005.34,2260.27,2339.88,2699.68,2417.47,3184.5,3313.32,3309.9
Albania,Kuruma prawn,Mediterranean and Black Sea,Marine,USD 1000,0,0,0,0,0,0,0,0,0,0,0,0,0,133,71.7,58.88,16.71,117.08,...,...,...,...,...,30,70,80,80,...,...,...,...
Albania,Mediterranean mussel,Mediterranean and Black Sea,Brackishwater,USD 1000,588.9,586.3,1138.8,1175.2,1935.01,938.4,2221.5,397.2,182.65,191.8,190.45,195,175,72,80,145.38,139.28,73.17,149.84,707.78,544.85,861.12,971.04,1507.61,796.76,1054,1086.81,902.52,562.19,605.86,1139.38
Algeria,Caramote prawn,Mediterranean and Black Sea,Brackishwater,USD 1000,0,12.94,14.47,28.89,25.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05,4.13,...,0,...
Algeria,Common sole,Mediterranean and Black Sea,Brackishwater,USD 1000,0,0,0,0,0,0,4,4.11,0,4.2,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.97,1.05,...,...,0,0
Algeria,European eel,Africa - Inland waters,Brackishwater,USD 1000,154,119,287,241.5,252,190.8,169.28,137.06,6.5,0,132,130,110.5,110.5,143,97.5,138,192,198,96,96,90,42,90,23.46,25.41,7.94,0,0.74,0,0
Algeria,European seabass,Mediterranean and Black Sea,Brackishwater,USD 1000,14.05,31.84,47.87,61.92,59.72,36.31,13.58,14.36,11.1,22.2,20,40,40,40,0,0,0,0,0,12,12,12,0,5,10.72,130.75,407.38,701.94,1564.96,1.23,2121.89
Algeria,Freshwater fishes nei,Africa - Inland waters,Brackishwater,USD 1000,0,0,0,14,0,0,32.5,5.52,0,37.5,5.6,8.1,8.1,8.1,0,0,0,0,0,2,2,2,80,46,648.16,326.83,320.86,145.82,107.81,194.58,189.4
Algeria,Gilthead seabream,Mediterranean and Black Sea,Brackishwater,USD 1000,7.03,0,0,0,0,0,8,4.14,0,4.2,4.5,0,0,0,33.6,75.6,104,128,136,4,4,4,0,0,24.43,253.08,567.4,901.31,1281.12,1562.14,6506.25
Algeria,Grooved carpet shell,Mediterranean and Black Sea,Brackishwater,USD 1000,...,...,...,...,...,...,18.1,95,14.4,48,76.8,81.6,72,72,101.2,19.6,38.4,72,63,9,...,...,0,0,0,0,0,0,0,0,0
Algeria,Mediterranean mussel,Mediterranean and Black Sea,Brackishwater,USD 1000,24.09,23.88,34.04,36.12,14.33,7.5,55.43,88.25,46.74,69.42,26,32.5,26,26,0,26,32.5,41.6,44.2,44.2,20,20,32,88,16.04,15.64,12.41,28.33,13.24,14.97,135.28
Algeria,Mullets nei,Africa - Inland waters,Brackishwater,USD 1000,79.49,99.51,146.79,193.18,152.89,92.44,85.97,44.68,20,137.5,125,84,72.8,72.8,34.8,52.2,75,96,102,3,3,3,27,18,103.42,39.28,7.08,22.96,19.48,1.32,10.41
Algeria,Pacific cupped oyster,Mediterranean and Black Sea,Brackishwater,USD 1000,40.14,39.8,45.74,55.73,5.12,3.5,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52,0.1,0.27,0,0,1.42,0
Algeria,Tilapias nei,Africa - Inland waters,Brackishwater,USD 1000,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1187.17,1437.31,363.33,54.23,32.65,4.25,46.17
Argentina,Blue mussel,"Atlantic, Southwest",Marine,USD 1000,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,12,24.9,18.9,35,8.4,9.1,52.7,42.5,388,543.33,206.63,20.37,12.33
Argentina,Longrayed whiptail,"Atlantic, Southwest",Marine,USD 1000,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,18.53
Argentina,Pacific cupped oyster,"Atlantic, Southwest",Marine,USD 1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,35,45,102,50,84.24,228,220,240,146,93.45,25,233.69,44.15,44.33,12.66
Argentina,River Plata mussel,"Atlantic, Southwest",Marine,USD 1000,...,10,10,1.65,1.8,0,0,0,0,0,0,0,0,0,0,6,40,30,...,...,28.98,46,20,21,85,64.6,399.64,543.33,51.66,32.78,7.78
Aruba,Tilapias nei,"Atlantic, Western Central",Brackishwater,USD 1000,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,8,...,0,0
Australia,Abalones nei,"Indian Ocean, Eastern",Marine,USD 1000,0,0,0,0,0,0,0,0,0,0,0,0,0,...,...,552.35,1164.69,1504.71,1389.11,2795.24,6148.6,10048.09,13265.59,14652.77,14470.18,18244.31,14197.17,16916.82,19878.72,22937.46,24194.72
Australia,Aquatic invertebrates nei,"Indian Ocean, Eastern",Marine,USD 1000,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,22205.46,37321.07,26804.67,19780.17,27960.26,24027.61,52889.97,20710.41
Australia,Atlantic salmon,"Pacific, Southwest",Marine,USD 1000,...,...,134.17,612.9,2634.98,19416.98,19141.6,24775.38,29106,33320,35136,41350.18,53888.41,43535.21,40043.06,46162.9,49415.82,51331.85,60982.27,75939.64,102062.86,110484.57,172712.81,241989.34,257362.73,256816.27,338177.44,439054.2,530050.44,479002.1,487618.06
