,(table of contents),A_9 - Dietary Energy Supply,,,,,,,,,,,,,,,,,,,,,,,,
,(home),(kcal/caput/day),,,,,,,,,,,,,,,,,,,,,,,,
FAOST_CODE,Regions/Subregions/Countries,1990-92,1991-93,1992-94,1993-95,1994-96,1995-97,1996-98,1997-99,1998-00,1999-01,2000-02,2001-03,2002-04,2003-05,2004-06,2005-07,2006-08,2007-09,2008-10,2009-11,2010-12,2011-13,2012-14*,2013-15*,2014-16*
5001,World,2597,2604,2621,2638,2656,2671,2683,2697,2709,2717,2721,2723,2730,2741,2756,2776,2796,2811,2824,2839,2856,2870,2879,2891,2903
5852,Developing countries,2415,2426,2449,2476,2502,2522,2535,2549,2562,2569,2569,2570,2576,2589,2605,2630,2658,2680,2701,2721,2741,2756,2766,2781,2796
5100,Africa,2320,2329,2338,2347,2357,2367,2378,2389,2395,2402,2412,2425,2435,2451,2471,2487,2499,2508,2522,2538,2555,2568,2571,2576,2581
421exclSudan,Northern Africa,3058,3053,3064,3083,3113,3136,3157,3168,3173,3188,3207,3230,3231,3228,3240,3265,3298,3314,3337,3366,3400,3422,3430,3439,3452
4,Algeria,2785,2822,2830,2804,2777,2767,2770,2790,2816,2847,2875,2927,2961,2972,2998,3016,3045,3067,3101,3157,3211,3262,3290,3310,3332
59,Egypt,3176,3181,3211,3258,3302,3336,3344,3352,3354,3378,3404,3407,3373,3352,3355,3401,3442,3460,3484,3506,3539,3550,3545,3547,3550
124,Libya,,,,,,,,,,,,,,,,,,,,,,,,,
143,Morocco,3021,2950,2927,2944,3014,3047,3113,3109,3097,3086,3112,3159,3207,3224,3247,3243,3265,3270,3279,3300,3316,3331,3332,3343,3364
276,Sudan,,,,,,,,,,,,,,,,,,,,,,,,,
222,Tunisia,3136,3140,3141,3136,3149,3193,3252,3311,3312,3296,3234,3231,3229,3238,3249,3250,3277,3298,3324,3343,3359,3393,3430,3465,3491
205,Western Sahara,,,,,,,,,,,,,,,,,,,,,,,,,
