,(table of contents),V_3.6 - Per capita food production variability,,,,,,,,,,,,,,,,,,,,,,,
,(home),(constant 2004-2006 thousand int$ per capita),,,,,,,,,,,,,,,,,,,,,,,
FAOST_CODE,Regions/Subregions/Countries,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
5001,World,1.7,2.5,2.5,2.4,2.6,2.8,1.9,2.6,2.4,2.0,2.0,1.2,1.7,2.8,3.0,2.5,1.8,1.9,1.6,2.4,2.3,2.3,2.0,2.8
5852,Developing countries,1.0,1.2,1.1,0.8,1.0,1.0,0.9,2.1,2.0,1.7,1.3,1.4,1.6,2.6,2.6,1.7,1.3,1.7,2.0,2.6,2.4,2.2,2.2,2.4
5100,Africa,2.5,2.9,4.9,3.6,4.3,5.5,6.9,4.7,3.7,3.8,4.0,2.3,2.2,2.1,2.6,2.9,3.3,2.7,2.8,2.8,3.2,3.2,2.9,2.8
421exclSudan,Northern Africa,3.8,4.8,8.0,7.8,6.2,6.9,9.7,11.8,11.9,12.0,11.6,9.5,7.8,8.5,9.4,9.3,9.4,8.4,5.4,5.1,6.0,6.7,5.6,5.7
4,Algeria,5.1,4.7,5.7,8.9,7.8,8.9,7.3,10.1,11.0,10.9,9.8,11.0,4.9,4.5,6.6,10.5,10.0,8.6,11.4,15.6,13.7,12.3,11.2,9.9
59,Egypt,7.7,9.0,8.7,9.0,8.2,5.0,3.9,5.6,6.0,6.3,4.7,4.4,8.2,7.5,7.4,6.5,4.0,5.7,7.0,9.5,8.4,11.5,13.2,12.7
124,Libya,8.4,5.7,3.4,4.4,5.1,5.0,6.9,11.3,12.0,10.3,5.1,9.0,14.3,14.7,11.6,4.6,4.5,2.4,3.5,3.4,3.5,3.9,2.0,2.2
143,Morocco,19.7,15.0,17.4,19.2,24.2,21.7,30.4,28.0,27.7,27.6,26.0,17.3,12.5,12.6,15.2,17.3,13.5,13.4,18.8,18.6,19.6,19.9,16.4,17.2
276,Sudan,,,,,,,,,,,,,,,,,,,,,,,,
222,Tunisia,31.8,31.1,51.4,51.4,36.8,47.5,60.1,61.7,64.0,61.9,60.9,47.5,42.3,46.1,53.9,46.0,47.5,41.1,23.4,10.8,11.8,13.4,14.2,15.2
205,Western Sahara,0.6,0.4,0.3,0.1,0.0,0.3,0.3,0.5,0.5,0.6,0.5,0.3,0.4,0.7,0.6,0.5,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.4
420,Sub-Saharan Africa,3.5,3.5,4.5,2.6,4.0,5.0,6.0,3.7,1.8,1.9,2.5,1.3,1.3,1.2,1.3,1.7,2.3,1.9,2.7,2.6,3.6,3.6,3.6,3.5
5101,  Eastern Africa,6.8,6.5,5.6,2.8,8.2,10.6,9.6,6.6,3.7,3.8,2.7,1.7,2.1,2.6,1.9,2.0,1.0,1.1,1.3,2.6,2.7,2.9,2.4,2.9
29,Burundi,5.7,4.7,5.5,6.6,6.8,10.4,11.3,10.7,8.4,5.5,3.2,3.5,4.5,5.5,5.9,5.8,3.7,4.1,3.9,1.1,3.0,3.5,2.7,7.2
45,Comoros,2.1,2.3,2.2,2.1,2.4,0.9,1.4,1.5,2.5,1.9,2.1,2.2,2.3,0.6,0.6,1.5,3.0,3.0,3.0,3.6,3.0,3.5,3.5,3.6
72,Djibouti,9.8,8.8,10.1,10.5,11.3,8.5,3.3,2.7,2.8,2.5,2.6,1.4,1.1,3.0,2.9,3.3,4.3,4.5,8.7,10.6,9.6,9.9,10.3,8.6
178,Eritrea,,,,,,,,,4.8,7.7,7.7,8.5,8.2,9.4,5.8,3.1,5.0,5.9,6.2,5.8,4.8,4.9,4.9,1.7
238,Ethiopia,,,,,,,,,4.7,5.4,5.3,5.9,4.1,2.8,2.7,2.6,2.3,1.8,2.5,2.7,2.8,2.8,2.8,2.6
114,Kenya,9.9,6.0,5.4,3.2,4.4,4.1,5.1,9.1,7.2,6.3,6.2,6.2,6.0,5.8,5.7,5.0,6.8,8.4,8.1,6.9,3.8,3.1,6.6,8.6
129,Madagascar,2.5,2.1,1.3,1.2,3.0,3.4,3.3,3.4,3.6,3.2,1.7,3.2,4.7,5.3,5.1,2.9,6.7,8.1,7.0,4.8,2.0,1.7,3.0,4.0
130,Malawi,2.7,3.6,3.2,9.3,8.6,9.3,9.1,9.9,7.4,8.2,9.1,13.8,17.6,19.0,20.3,22.5,25.7,12.6,15.2,15.0,16.7,6.1,5.1,6.1
137,Mauritius,10.1,8.0,7.8,6.7,5.7,9.6,9.6,9.5,10.5,11.0,22.0,21.9,25.6,24.3,24.3,11.9,11.1,7.1,9.6,9.2,6.7,6.8,6.9,3.6
270,Mayotte,,,,,,,,,,,,,,,,,,,,,,,,
144,Mozambique,0.9,1.6,4.3,9.1,9.6,9.2,8.7,12.4,13.0,12.4,4.2,4.6,5.6,5.9,4.2,1.2,5.1,5.3,5.1,4.5,2.3,9.2,11.8,11.3
182,Réunion,13.4,13.2,13.8,14.1,12.5,11.2,11.6,9.1,9.1,8.4,9.0,7.5,6.5,7.3,6.9,6.6,6.5,6.7,7.5,7.5,6.3,6.3,5.8,1.2
184,Rwanda,13.0,6.6,15.1,24.7,20.3,28.1,28.0,26.7,14.6,13.9,4.0,3.8,3.7,9.5,9.4,9.1,9.1,7.6,5.0,4.8,7.0,7.4,7.5,6.1
196,Seychelles,11.8,10.5,3.0,4.0,4.0,5.4,10.6,11.8,11.4,6.5,3.3,3.3,2.6,6.8,8.4,9.5,8.7,3.8,3.4,3.2,3.6,3.4,5.1,7.0
201,Somalia,16.3,12.7,21.4,31.6,29.3,22.8,24.0,26.4,18.3,7.0,7.1,9.0,10.0,4.9,2.9,2.4,3.4,2.7,3.6,7.0,7.4,6.7,6.1,7.8
277,South Sudan,,,,,,,,,,,,,,,,,,,,,,,,
206,Sudan (former),11.3,13.9,13.5,14.9,12.3,12.9,7.6,7.9,6.8,3.4,4.1,5.1,4.4,4.4,7.0,6.4,4.9,5.3,6.8,4.3,4.0,3.4,8.0,8.7
226,Uganda,5.6,7.8,6.4,4.5,3.3,5.8,5.0,8.1,9.5,6.9,7.4,7.5,7.6,4.9,4.8,3.9,3.4,5.2,5.6,3.4,1.6,2.0,1.9,2.2
215,United Republic of Tanzania,3.2,4.0,4.3,4.0,3.2,4.9,4.1,2.6,4.2,4.1,4.0,4.2,4.2,10.0,10.4,10.9,10.1,8.7,6.0,6.7,8.6,8.6,6.5,6.4
251,Zambia,6.6,6.6,6.3,9.1,9.3,8.6,9.4,9.8,7.3,5.1,5.8,3.8,3.3,3.3,2.9,2.7,2.9,3.0,4.9,6.1,6.4,9.2,9.7,9.8
181,Zimbabwe,11.6,12.1,12.1,19.3,17.4,17.5,16.8,17.9,12.6,12.3,12.0,5.7,5.8,9.6,9.8,10.0,9.3,7.7,6.4,7.6,5.1,5.0,6.1,7.4
5102,Middle Africa,1.3,1.6,2.5,2.3,1.8,1.8,3.9,4.3,4.4,4.2,2.0,1.7,1.9,1.2,0.9,0.7,1.4,1.6,1.5,1.3,1.6,1.7,1.8,4.3
7,Angola,3.0,1.0,0.5,1.1,1.3,2.5,2.7,3.0,4.1,4.1,4.6,4.4,4.4,5.7,5.9,3.5,2.3,5.2,4.7,3.8,11.9,13.7,13.0,21.4
32,Cameroon,7.7,7.4,3.7,2.7,2.2,2.3,3.6,4.5,4.2,4.3,4.4,4.4,2.4,4.1,4.7,4.1,5.7,7.8,8.2,6.9,1.7,2.0,3.0,5.2
37,Central African Republic,4.1,2.6,3.2,3.4,3.0,2.4,1.9,7.0,7.2,6.8,6.8,6.7,5.7,5.7,6.8,5.4,5.2,3.8,2.8,2.3,2.7,2.4,1.9,1.9
39,Chad,3.9,4.9,6.8,6.1,10.5,10.5,10.4,8.2,7.8,9.9,9.7,11.0,10.2,10.3,6.3,6.6,4.6,4.2,5.7,5.3,4.9,3.7,4.9,8.2
46,Congo,1.6,1.5,2.5,2.9,2.1,1.8,3.3,3.8,3.2,2.4,2.1,2.1,1.8,1.7,2.4,1.6,1.8,2.4,2.5,1.5,0.7,0.8,1.5,1.5
250,Democratic Republic of the Congo,1.0,2.3,3.3,3.6,2.9,2.1,7.4,8.9,8.9,7.5,3.1,3.0,2.6,0.9,1.3,1.7,1.8,1.7,1.0,0.5,1.0,1.4,1.9,2.3
61,Equatorial Guinea,4.3,8.0,8.6,8.6,8.5,6.0,3.9,1.9,0.8,1.6,1.8,1.7,1.6,2.0,1.6,1.5,2.1,2.4,2.2,1.5,1.3,1.9,2.8,3.1
