,(table of contents),V_3.7 - Per capita food supply variability,,,,,,,,,,,,,,,,,,,,,
,(home),(kcal/caput/day),,,,,,,,,,,,,,,,,,,,,
FAOST_CODE,Regions/Subregions/Countries,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
5001,World,27,31,39,54,61,65,59,8,6,7,8,5,10,15,17,15,7,3,10,13,11,10
5852,Developing countries,8,14,23,23,21,22,28,17,16,8,3,3,10,18,21,19,10,4,11,17,16,13
5100,Africa,8,7,7,7,5,4,4,1,2,2,2,8,8,8,6,4,8,11,10,9,4,4
421exclSudan,Northern Africa,13,16,16,21,24,24,10,18,20,15,10,14,14,16,15,21,26,23,17,18,16,10
4,Algeria,34,36,34,46,48,59,64,67,67,31,33,31,37,32,38,41,25,26,27,29,26,23
59,Egypt,34,30,32,25,21,24,36,42,40,21,15,16,17,19,27,61,64,56,37,48,34,33
124,Libya,,,,,,,,,,,,,,,,,,,,,,
143,Morocco,68,47,46,84,109,108,85,66,72,59,60,51,50,47,30,47,35,31,30,31,18,21
276,Sudan,,,,,,,,,,,,,,,,,,,,,,
222,Tunisia,22,15,29,31,24,30,26,31,45,67,82,61,57,79,78,31,30,23,19,22,32,24
205,Western Sahara,,,,,,,,,,,,,,,,,,,,,,
420,Sub-Saharan Africa,10,10,10,10,8,6,4,6,6,5,5,7,8,8,6,3,13,15,14,10,6,5
5101,  Eastern Africa,21,14,12,24,32,25,18,17,16,10,7,5,6,4,6,10,15,15,17,20,19,11
29,Burundi,,,,,,,,,,,,,,,,,,,,,,
45,Comoros,,,,,,,,,,,,,,,,,,,,,,
72,Djibouti,46,36,47,60,54,55,35,34,27,32,27,30,30,31,35,40,26,29,44,43,21,29
178,Eritrea,,,,,,,,,,,,,,,,,,,,,,
238,Ethiopia,13,6,8,15,22,19,13,26,32,27,23,16,17,16,12,21,24,23,33,31,30,19
114,Kenya,38,34,24,47,67,71,81,88,76,18,19,19,18,33,48,42,56,61,60,54,42,32
129,Madagascar,32,36,33,34,24,26,20,17,17,8,5,4,10,30,29,26,36,48,46,38,20,23
130,Malawi,18,24,27,67,55,47,60,66,48,45,32,35,27,41,63,73,66,31,28,33,26,7
