,(table of contents),V_2.4 - Gross domestic product per capita (in purchasing power equivalent),,,,,,,,,,,,,,,,,,,,,,,,,
,(home),(constant 2011 international $),,,,,,,,,,,,,,,,,,,,,,,,,
FAOST_CODE,Regions/Subregions/Countries,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,
5001,World,8875.0,8839.2,8840.7,8853.8,8975.5,9176.8,9394.7,9635.3,9726.8,9962.3,10310.8,10439.1,10573.5,10833.0,11277.3,11668.4,12150.4,12663.5,12861.0,12677.2,13182.1,13532.9,13859.6,14156.3,14463.1,
5852,Developing countries,3807.7,3859.0,3965.3,4084.2,4225.5,4402.5,4593.2,4751.3,4775.2,4906.8,5114.8,5221.8,5361.3,5580.6,5943.9,6282.7,6693.9,7161.6,7447.9,7637.1,8120.4,8503.3,8848.3,9188.1,9504.3,
5100,Africa,3303.1,3232.9,3148.9,3099.7,3090.4,3096.8,3181.8,3202.8,3227.8,3366.6,3402.0,3448.3,3474.3,3572.1,3798.8,3899.8,4033.2,4169.4,4262.6,4288.8,4403.0,4398.7,4474.5,4512.0,4551.1,
421exclSudan,Northern Africa,6517.3,6457.8,6497.2,6413.5,6494.8,6550.2,6820.3,6913.5,7141.4,7864.0,8041.3,8221.2,8344.3,8693.0,8943.6,9286.2,9632.2,10002.2,10332.3,10486.6,10774.3,10145.9,10647.1,10608.4,10518.1,
4,Algeria,10289.0,9919.8,9865.6,9448.1,9172.9,9342.8,9558.0,9509.3,9846.3,10019.5,10102.9,10432.9,10879.3,11517.0,11857.7,12387.2,12418.0,12648.1,12697.6,12685.5,12910.8,13026.2,13196.5,13300.7,13540.8,
59,Egypt,6013.9,5942.6,6076.2,6129.1,6251.5,6420.0,6617.2,6855.6,7006.0,7301.9,7556.3,7681.2,7718.1,7817.0,7987.8,8195.1,8603.1,9054.8,9534.0,9798.8,10101.6,10071.2,10066.9,10050.1,10045.8,
124,Libya,,,,,,,,,,21588.4,21997.5,21247.3,20700.2,23015.7,23646.1,26004.7,27200.1,28396.0,28652.4,28033.9,29173.6,11023.4,22560.3,19557.1,14880.0,
143,Morocco,3932.8,4152.5,3960.2,3853.3,4226.0,3897.7,4358.3,4212.3,4490.0,4459.0,4478.1,4763.9,4871.0,5126.6,5318.7,5420.9,5780.3,5872.9,6151.3,6336.9,6496.6,6746.9,6853.6,7076.1,7146.3,
276,Sudan,1753.3,1828.9,1888.5,1912.1,1870.7,1922.8,1977.2,2124.2,2154.1,2159.5,2232.6,2311.3,2391.0,2503.7,2527.8,2640.5,2824.2,3060.7,3206.9,3219.4,3240.8,3478.3,3803.5,3847.2,3882.2,
222,Tunisia,5677.1,5782.6,6107.9,6181.8,6223.3,6247.4,6596.8,6860.9,7098.0,7430.1,7701.4,7912.5,7936.3,8232.7,8664.6,8880.3,9254.7,9781.8,10093.9,10290.8,10543.5,10218.6,10534.6,10730.9,10909.8,
205,Western Sahara,,,,,,,,,,,,,,,,,,,,,,,,,,
420,Sub-Saharan Africa,2570.0,2498.1,2391.0,2355.6,2334.9,2336.5,2388.5,2396.1,2383.6,2367.9,2380.8,2407.5,2421.9,2476.1,2720.3,2781.1,2879.8,2974.9,3044.2,3058.4,3154.9,3306.2,3262.4,3327.6,3402.3,
5101,  Eastern Africa,1292.2,1263.2,1203.3,1212.3,1193.5,1212.4,1260.8,1266.8,1266.3,1276.6,1276.5,1304.9,1290.2,1283.1,1326.8,1370.6,1419.5,1483.5,1576.0,1613.9,1686.3,1751.0,1753.8,1818.5,1881.8,
29,Burundi,1049.2,1073.6,1059.5,972.8,918.1,831.2,753.3,731.3,755.3,735.0,713.3,709.1,718.6,686.7,695.4,677.5,689.3,697.2,706.9,706.1,707.8,712.7,716.8,725.3,734.5,
45,Comoros,1531.5,1406.8,1482.8,1483.7,1365.9,1376.1,1321.3,1337.8,1319.4,1310.2,1415.8,1413.2,1411.1,1406.4,1399.3,1404.6,1407.3,1384.5,1356.6,1349.7,1346.1,1347.8,1354.8,1368.5,1363.6,
72,Djibouti,3112.4,2870.4,2794.9,2560.2,2494.6,2366.8,2228.5,2171.8,2134.7,2143.1,2116.6,2126.0,2148.4,2184.3,2235.5,2274.4,2351.8,2439.6,2548.2,2642.3,2699.2,2783.0,2879.2,2983.0,3120.0,
178,Eritrea,,,1096.2,1247.6,1513.7,1549.0,1672.1,1772.2,1762.2,1715.0,1611.5,1695.2,1684.6,1581.4,1550.5,1542.5,1487.4,1473.7,1301.7,1324.8,1326.1,1411.2,,,,
238,Ethiopia,652.4,584.8,515.2,562.5,560.7,575.6,626.9,627.3,588.1,600.8,619.1,651.4,642.5,610.9,674.5,733.5,791.0,858.1,925.7,980.9,1075.6,1165.2,1234.0,1330.4,1430.8,
114,Kenya,2376.0,2331.8,2239.6,2178.3,2169.9,2202.2,2232.9,2187.0,2203.8,2199.8,2158.5,2184.0,2140.3,2146.6,2198.1,2267.9,2352.4,2448.5,2390.4,2404.9,2538.6,2622.7,2669.8,2747.4,2818.3,
129,Madagascar,1660.7,1509.8,1482.2,1467.8,1422.2,1402.2,1387.9,1394.4,1404.0,1423.9,1446.0,1486.7,1259.5,1341.9,1371.2,1393.0,1421.4,1467.6,1528.3,1426.3,1390.4,1371.6,1374.2,1366.6,1373.2,
130,Malawi,542.5,577.9,531.2,581.8,520.7,601.8,633.9,641.7,647.6,647.7,639.7,592.0,586.9,603.8,616.9,617.5,612.7,651.6,685.4,725.1,749.5,758.6,749.6,764.7,783.8,
137,Mauritius,7567.8,7818.6,8218.9,8534.9,8764.3,9061.8,9470.8,9884.9,10375.3,10511.7,11348.5,11549.0,11711.5,12052.2,12665.0,12746.5,13188.1,13901.5,14614.6,15020.3,15599.0,16179.3,16650.8,17145.8,17730.9,
270,Mayotte,,,,,,,,,,,,,,,,,,,,,,,,,,
144,Mozambique,375.0,383.4,351.0,367.0,374.7,369.8,454.9,490.4,534.5,561.5,555.6,608.6,643.1,665.0,696.2,735.3,785.0,819.8,852.0,881.1,914.0,951.8,991.9,1033.3,1077.4,
182,RŽunion,,,,,,,,,,,,,,,,,,,,,,,,,,
184,Rwanda,850.4,851.1,949.2,929.3,485.8,666.2,728.3,777.1,781.0,780.7,799.6,836.8,926.5,924.0,972.3,1018.8,1086.0,1137.9,1229.9,1271.3,1328.6,1397.2,1483.4,1516.3,1584.2,
196,Seychelles,14116.4,14351.3,15185.5,15892.7,15506.9,15097.2,15608.9,17272.1,18361.0,18340.9,18453.2,18018.3,17692.5,16831.9,16411.6,17803.3,19086.5,20967.6,20065.0,19765.1,20363.6,22556.4,23685.3,24805.2,25172.4,
