,(table of contents),V_1.5 - Average supply of protein of animal origin,,,,,,,,,,,,,,,,,,,,,,,,,,
,(home),(gr/caput/day),,,,,,,,,,,,,,,,,,,,,,,,,,
FAOST_CODE,Regions/Subregions/Countries,1990-92,1991-93,1992-94,1993-95,1994-96,1995-97,1996-98,1997-99,1998-00,1999-01,2000-02,2001-03,2002-04,2003-05,2004-06,2005-07,2006-08,2007-09,2008-10,2009-11,,,,,,,
5001,World,24,25,25,26,26,26,27,27,27,28,28,28,28,29,29,30,30,31,31,31,,,,,,,
5852,Developing countries,15,16,16,17,18,18,19,19,20,20,20,20,21,21,22,22,23,24,24,25,,,,,,,
5100,Africa,13,12,12,12,12,12,12,12,12,12,12,13,13,13,13,14,14,14,14,14,,,,,,,
421exclSudan,Northern Africa,16,16,16,16,16,16,17,18,18,19,19,19,20,20,21,22,22,23,23,24,,,,,,,
4,Algeria,19,19,20,20,18,17,17,18,18,19,19,20,21,21,22,22,22,22,22,23,,,,,,,
59,Egypt,13,13,13,14,15,15,16,17,18,18,18,19,19,19,20,22,23,23,23,24,,,,,,,
124,Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,Morocco,15,15,15,15,14,15,15,15,15,16,17,17,17,18,19,19,20,21,22,23,,,,,,,
276,Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,Tunisia,19,19,20,20,20,20,21,22,23,24,25,25,24,24,24,25,25,26,26,26,,,,,,,
205,Western Sahara,,,,,,,,,,,,,,,,,,,,,,,,,,,
420,Sub-Saharan Africa,12,11,11,11,10,11,11,11,11,11,11,11,11,12,12,12,12,12,12,13,,,,,,,
5101,  Eastern Africa,12,10,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,,,,,,,
29,Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Djibouti,11,12,12,12,12,12,12,13,14,14,15,15,15,15,17,19,20,19,16,13,,,,,,,
178,Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,Ethiopia,,5,5,5,5,5,5,5,5,5,6,7,7,7,7,7,7,8,8,8,,,,,,,
114,Kenya,17,16,16,15,15,15,15,15,15,15,15,15,16,17,17,17,17,17,17,17,,,,,,,
129,Madagascar,16,15,15,14,14,14,14,14,13,12,11,10,10,10,11,11,11,11,11,11,,,,,,,
130,Malawi,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,6,6,,,,,,,
137,Mauritius,28,29,29,29,29,28,29,30,31,33,34,35,36,37,36,37,37,39,39,39,,,,,,,
270,Mayotte,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,Mozambique,4,3,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,,,,,,,
182,RŽunion,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,Rwanda,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,,,,,,,
196,Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,Somalia,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,Sudan (former),21,22,23,24,24,24,25,26,28,29,31,32,32,32,32,32,31,30,30,30,,,,,,,
226,Uganda,11,11,10,10,9,9,9,9,9,9,9,9,10,11,12,12,12,12,12,12,,,,,,,
215,United Republic of Tanzania,11,11,10,11,10,10,10,10,10,10,9,9,10,10,10,10,10,10,10,10,,,,,,,
251,Zambia,11,11,11,10,10,10,10,10,10,10,10,10,10,10,9,9,9,9,9,10,,,,,,,
181,Zimbabwe,9,9,8,7,8,8,8,9,9,10,10,10,10,11,11,11,11,11,12,12,,,,,,,
5102,Middle Africa,9,9,9,9,8,8,8,8,9,9,9,9,9,9,9,9,9,10,10,10,,,,,,,
7,Angola,13,11,11,10,10,10,10,11,11,12,13,13,13,13,13,14,15,15,16,16,,,,,,,
32,Cameroon,11,11,11,11,11,11,11,11,12,12,12,12,12,13,13,12,13,13,13,13,,,,,,,
37,Central African Republic,15,15,15,15,16,16,16,15,16,17,17,17,18,18,19,19,19,20,20,21,,,,,,,
39,Chad,13,13,12,12,12,12,12,12,13,12,12,12,11,11,11,10,10,10,10,10,,,,,,,
46,Congo,19,21,20,18,16,15,14,13,14,14,14,15,17,17,17,17,18,18,18,21,,,,,,,
250,Democratic Republic of the Congo,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Gabon,37,40,41,41,40,39,40,40,40,39,36,35,35,38,41,42,42,41,40,41,,,,,,,
193,Sao Tome and Principe,13,12,12,13,15,14,14,14,14,13,13,14,15,16,16,16,16,17,17,17,,,,,,,
5104,Southern Africa,25,25,24,24,24,24,23,23,24,24,25,25,26,27,28,29,30,31,31,32,,,,,,,
20,Botswana,29,28,26,25,25,26,25,24,24,25,26,24,23,23,23,23,23,24,24,25,,,,,,,
122,Lesotho,10,10,10,10,9,9,9,9,9,10,10,10,10,10,11,11,11,11,11,11,,,,,,,
147,Namibia,19,18,16,15,15,16,17,20,24,27,26,25,24,24,24,24,25,24,24,23,,,,,,,
202,South Africa,26,25,25,25,25,25,24,24,25,25,26,26,27,28,29,31,32,33,33,34,,,,,,,
209,Swaziland,17,17,17,16,15,18,19,21,21,20,21,21,25,26,25,21,18,17,16,16,,,,,,,
5105,Western Africa,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,12,12,12,12,12,,,,,,,
