,(table of contents),A_1 - Total population,,,,,,,,,,,,,,,,,,,,,,,,
,(home),(millions),,,,,,,,,,,,,,,,,,,,,,,,
FAOST_CODE,Regions/Subregions/Countries,1990-92,1991-93,1992-94,1993-95,1994-96,1995-97,1996-98,1997-99,1998-00,1999-01,2000-02,2001-03,2002-04,2003-05,2004-06,2005-07,2006-08,2007-09,2008-10,2009-11,2010-12,2011-13,2012-14,2013-15,2014-16
5001,World,5408.0,5494.0,5578.1,5660.4,5741.1,5820.3,5898.1,5975.0,6051.3,6127.6,6204.1,6280.8,6358.0,6435.8,6514.2,6593.3,6673.1,6753.6,6834.6,6916.1,6997.9,7079.8,7161.8,7243.3,7324.3
5852,Developing countries,4248.8,4329.3,4408.1,4485.5,4561.5,4636.3,4710.0,4782.7,4855.1,4927.3,4999.5,5072.0,5144.7,5217.8,5291.3,5365.2,5439.6,5514.6,5590.3,5666.8,5744.1,5822.0,5900.1,5978.1,6055.6
5100,Africa,646.9,664.0,681.4,698.9,716.6,734.4,752.4,770.7,789.4,808.5,828.0,848.1,868.7,889.9,911.8,934.3,957.5,981.5,1006.1,1031.3,1057.2,1083.7,1110.8,1138.4,1166.4
421exclSudan,Northern Africa,122.3,124.6,126.9,129.1,131.3,133.4,135.5,137.5,139.6,141.6,143.6,145.6,147.7,149.8,152.0,154.2,156.5,158.9,161.4,164.0,166.6,169.3,172.0,174.8,177.4
4,Algeria,26.9,27.5,28.1,28.7,29.3,29.8,30.3,30.8,31.3,31.7,32.1,32.6,33.0,33.5,34.0,34.5,35.1,35.7,36.4,37.1,37.8,38.5,39.2,39.9,40.6
59,Egypt,57.4,58.4,59.3,60.2,61.2,62.1,63.1,64.1,65.1,66.1,67.2,68.3,69.4,70.6,71.8,73.0,74.2,75.5,76.8,78.1,79.4,80.7,82.1,83.4,84.7
124,Libya,4.4,4.5,4.6,4.7,4.7,4.8,4.9,5.0,5.1,5.2,5.3,5.3,5.4,5.5,5.6,5.7,5.8,5.9,6.0,6.0,6.1,6.2,6.2,6.3,6.3
143,Morocco,25.1,25.6,26.0,26.4,26.8,27.2,27.6,28.0,28.4,28.7,29.0,29.3,29.6,29.9,30.1,30.4,30.7,31.0,31.3,31.7,32.1,32.5,33.0,33.5,33.9
276,Sudan,20.9,21.8,22.7,23.7,24.5,25.2,25.9,26.5,27.1,27.8,28.5,29.2,30.0,30.8,31.6,32.4,33.2,34.0,34.8,35.6,36.4,37.2,38.0,38.8,39.6
222,Tunisia,8.3,8.5,8.7,8.8,9.0,9.1,9.2,9.3,9.5,9.6,9.7,9.7,9.8,9.9,10.1,10.2,10.3,10.4,10.5,10.6,10.8,10.9,11.0,11.1,11.2
205,Western Sahara,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6
420,Sub-Saharan Africa,503.8,517.6,531.7,546.1,560.8,575.7,591.0,606.7,622.7,639.1,655.9,673.2,691.0,709.3,728.2,747.7,767.8,788.5,809.8,831.7,854.1,877.2,900.8,924.8,949.3
5101,  Eastern Africa,203.6,208.8,214.0,219.5,225.4,231.7,238.4,245.5,252.7,260.0,267.4,274.8,282.4,290.2,298.2,306.5,315.1,324.0,333.2,342.7,352.6,362.8,373.3,384.0,394.8
29,Burundi,5.7,5.9,6.0,6.1,6.2,6.3,6.4,6.5,6.6,6.7,6.9,7.0,7.3,7.5,7.8,8.0,8.3,8.6,8.9,9.2,9.5,9.9,10.2,10.5,10.8
45,Comoros,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.8,0.8
72,Djibouti,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.9,0.9,0.9,0.9
178,Eritrea,3.3,3.3,3.3,3.4,3.4,3.5,3.6,3.7,3.8,3.9,4.1,4.3,4.5,4.7,4.9,5.0,5.2,5.4,5.6,5.7,5.9,6.1,6.3,6.5,6.7
238,Ethiopia,49.8,51.5,53.4,55.2,57.0,58.8,60.6,62.4,64.2,66.0,68.0,70.0,72.0,74.1,76.2,78.3,80.5,82.6,84.9,87.1,89.4,91.7,94.1,96.5,99.0
