"","country","species","area","year","production"
"50751","Albania","European seabass","Mediterranean and Black Sea",2000,NA
"50752","Albania","Gilthead seabream","Mediterranean and Black Sea",2000,NA
"50753","Albania","Kuruma prawn","Mediterranean and Black Sea",2000,2
"50754","Argentina","Blue mussel","Atlantic, Southwest",2000,NA
"50755","Argentina","Longrayed whiptail","Atlantic, Southwest",2000,NA
"50756","Argentina","Pacific cupped oyster","Atlantic, Southwest",2000,10
"50757","Argentina","River Plata mussel","Atlantic, Southwest",2000,20
"50758","Australia","Abalones nei","Indian Ocean, Eastern",2000,40
"50759","Australia","Aquatic invertebrates nei","Indian Ocean, Eastern",2000,NA
"50760","Australia","Atlantic salmon","Pacific, Southwest",2000,10907
"50761","Australia","Australian mussel","Indian Ocean, Eastern",2000,2017
"50762","Australia","Brown tiger prawn","Pacific, Southwest",2000,NA
"50763","Australia","Chinook(=Spring=King) salmon","Pacific, Southwest",2000,NA
"50764","Australia","Cupped oysters nei","Indian Ocean, Eastern",2000,NA
"50765","Australia","Eastern king prawn","Pacific, Southwest",2000,NA
"50766","Australia","Flat and cupped oysters nei","Indian Ocean, Eastern",2000,NA
"50767","Australia","Flat oysters nei","Pacific, Western Central",2000,NA
"50768","Australia","Giant tiger prawn","Pacific, Western Central",2000,NA
"50769","Australia","Marine crustaceans nei","Pacific, Southwest",2000,NA
"50770","Australia","Marine fishes nei","Indian Ocean, Eastern",2000,82
"50771","Australia","Marine fishes nei","Pacific, Southwest",2000,NA
"50772","Australia","Pacific cupped oyster","Indian Ocean, Eastern",2000,4693
"50773","Australia","Rainbow trout","Pacific, Southwest",2000,NA
"50774","Australia","Southern Australia scallop","Pacific, Southwest",2000,NA
"50775","Australia","Southern bluefin tuna","Indian Ocean, Eastern",2000,2649
"50776","Australia","Sydney cupped oyster","Indian Ocean, Eastern",2000,NA
"50777","Australia","Sydney cupped oyster","Pacific, Southwest",2000,4961
"50778","Bahamas","Brine shrimp","Atlantic, Western Central",2000,NA
"50779","Bahamas","Cobia","Atlantic, Western Central",2000,NA
"50780","Bahamas","Florida pompano","Atlantic, Western Central",2000,NA
"50781","Bahamas","Red drum","Atlantic, Western Central",2000,NA
