"","country","species","area","year","value","value.kg","relative.value"
"16225","Albania","European seabass","Mediterranean and Black Sea",2000,NA,NA,NA
"16226","Albania","Gilthead seabream","Mediterranean and Black Sea",2000,0,NA,0
"16227","Albania","Kuruma prawn","Mediterranean and Black Sea",2000,16.71,8.355,1
"16228","Argentina","Blue mussel","Atlantic, Southwest",2000,NA,NA,NA
"16229","Argentina","Longrayed whiptail","Atlantic, Southwest",2000,NA,NA,NA
"16230","Argentina","Pacific cupped oyster","Atlantic, Southwest",2000,35,3.5,0.466666666666667
"16231","Argentina","River Plata mussel","Atlantic, Southwest",2000,40,2,0.533333333333333
"16232","Australia","Abalones nei","Indian Ocean, Eastern",2000,1164.69,29.11725,0.00679856632899833
"16233","Australia","Aquatic invertebrates nei","Indian Ocean, Eastern",2000,NA,NA,NA
"16234","Australia","Atlantic salmon","Pacific, Southwest",2000,49415.82,4.5306518749427,0.288451630881902
"16235","Australia","Australian mussel","Indian Ocean, Eastern",2000,3065.68,1.51992067426872,0.0178950869531666
"16236","Australia","Brown tiger prawn","Pacific, Southwest",2000,0,NA,0
"16237","Australia","Chinook(=Spring=King) salmon","Pacific, Southwest",2000,0,NA,0
"16238","Australia","Cupped oysters nei","Indian Ocean, Eastern",2000,NA,NA,NA
"16239","Australia","Eastern king prawn","Pacific, Southwest",2000,0,NA,0
"16240","Australia","Flat and cupped oysters nei","Indian Ocean, Eastern",2000,NA,NA,NA
"16241","Australia","Flat oysters nei","Pacific, Western Central",2000,NA,NA,NA
"16242","Australia","Giant tiger prawn","Pacific, Western Central",2000,0,NA,0
"16243","Australia","Marine crustaceans nei","Pacific, Southwest",2000,NA,NA,NA
"16244","Australia","Marine fishes nei","Indian Ocean, Eastern",2000,382.02,4.65878048780488,0.00222993956246206
"16245","Australia","Marine fishes nei","Pacific, Southwest",2000,NA,NA,NA
"16246","Australia","Pacific cupped oyster","Indian Ocean, Eastern",2000,14511.96,3.09225655231195,0.0847096846575231
"16247","Australia","Rainbow trout","Pacific, Southwest",2000,0,NA,0
"16248","Australia","Southern Australia scallop","Pacific, Southwest",2000,0,NA,0
"16249","Australia","Southern bluefin tuna","Indian Ocean, Eastern",2000,86248.7,32.5589656474141,0.50345371535763
"16250","Australia","Sydney cupped oyster","Indian Ocean, Eastern",2000,NA,NA,NA
"16251","Australia","Sydney cupped oyster","Pacific, Southwest",2000,16525.19,3.3310199556541,0.0964613762583176
"16252","Bahamas","Brine shrimp","Atlantic, Western Central",2000,0,NA,NA
"16253","Bahamas","Cobia","Atlantic, Western Central",2000,0,NA,NA
"16254","Bahamas","Florida pompano","Atlantic, Western Central",2000,NA,NA,NA
"16255","Bahamas","Red drum","Atlantic, Western Central",2000,0,NA,NA
"16256","Bahrain","Barramundi(=Giant seaperch)","Indian Ocean, Western",2000,NA,NA,NA
"16257","Bahrain","Gilthead seabream","Indian Ocean, Western",2000,0,NA,0
"16258","Bahrain","Mangrove red snapper","Indian Ocean, Western",2000,NA,NA,NA
"16259","Bahrain","Orange-spotted grouper","Indian Ocean, Western",2000,NA,NA,NA
"16260","Bahrain","Sobaity seabream","Indian Ocean, Western",2000,55.2,4.6,1
"16261","Bahrain","White-spotted spinefoot","Indian Ocean, Western",2000,NA,NA,NA
"16262","Belize","Cobia","Atlantic, Western Central",2000,NA,NA,NA
"16263","Belize","Eucheuma seaweeds nei","Atlantic, Western Central",2000,NA,NA,NA
"16264","Belize","Palinurid spiny lobsters nei","Atlantic, Western Central",2000,NA,NA,NA
"16265","Bonaire/S.Eustatius/Saba","Cobia","Atlantic, Western Central",2000,NA,NA,NA
"16266","Bosnia and Herzegovina","Common dentex","Mediterranean and Black Sea",2000,NA,NA,NA
"16267","Bosnia and Herzegovina","European flat oyster","Mediterranean and Black Sea",2000,NA,NA,NA
"16268","Bosnia and Herzegovina","European seabass","Mediterranean and Black Sea",2000,NA,NA,NA
"16269","Bosnia and Herzegovina","Gilthead seabream","Mediterranean and Black Sea",2000,NA,NA,NA
"16270","Bosnia and Herzegovina","Marine fishes nei","Mediterranean and Black Sea",2000,NA,NA,NA
"16271","Bosnia and Herzegovina","Mediterranean mussel","Mediterranean and Black Sea",2000,NA,NA,NA
"16272","Brazil","Cupped oysters nei","Atlantic, Southwest",2000,1786.5,0.126165254237288,0.0250928075712438
"16273","Brazil","Elkhorn sea moss","Atlantic, Southwest",2000,NA,NA,NA
"16274","Brazil","Gracilaria seaweeds","Atlantic, Southwest",2000,NA,NA,NA
"16275","Brazil","Groupers nei","Atlantic, Southwest",2000,6,2,8.42747525482578e-05
"16276","Brazil","Marine fishes nei","Atlantic, Southwest",2000,13,0.00448585231193927,0.000182595297187892
"16277","Brazil","Marine molluscs nei","Atlantic, Southwest",2000,0.6,NA,8.42747525482578e-06
"16278","Brazil","Mullets nei","Atlantic, Southwest",2000,21.6,0.251162790697674,0.000303389109173728
"16279","Brazil","Pacific lion's paw","Atlantic, Southwest",2000,NA,NA,NA
"16280","Brazil","Scallops nei","Atlantic, Southwest",2000,8,NA,0.00011236633673101
"16281","Brazil","Snooks(=Robalos) nei","Atlantic, Southwest",2000,10,NA,0.000140457920913763
"16282","Brazil","South American rock mussel","Atlantic, Southwest",2000,5880,NA,0.0825892574972927
"16283","Brazil","Whiteleg shrimp","Atlantic, Southwest",2000,63470,NA,0.891486424039654
