"","country","year","Q.balance","UV.balance","energy_adequacy","gdp","polyunsatFA_percentseafood","calories_percentseafood","protein_percentseafood","vitaminA_percentseafood","thiamin_percentseafood","niacin_percentseafood","riboflavin_percentseafood","B6_percentseafood","iron_percentseafood","calcium_percentseafood","zinc_percentseafood","native","fishmeal","habitat","spp_farmed","prod_ratio","vitamins_all","trade","fs","nutrition","ecol"
"1","Albania",2011,0.937150638469856,0.768587207074744,0.492537313432836,0.067587863098435,0.0208919153630137,0.0216145723377743,0.0288302651552372,0.015228233446488,0.0368929704312052,0.0534309787938349,0.0134258699175712,0.0329047512859417,0.0268246893729389,0.00380001101020646,0.0385189130227135,NA,NA,NA,0.136363636363636,0.721571256285967,0.0276283021601125,0.809103033943522,0.280062588265635,0.0265784700124477,NA
"2","Algeria",2011,0.833723025670442,0.790295820042024,0.701492537313433,0.0929518510445295,0.0121492459678258,0.0190348382260011,0.0279057317292312,0.0213837695430923,0.0338409429704357,0.0456978945631879,0.0234701137683968,0.0360033374365617,0.0331859658604588,0.00789363623807233,0.0294413143540774,NA,NA,NA,0.204545454545455,0.497094076805623,0.0288646218417854,0.707037640839363,0.397222194178981,0.0263642536961219,NA
"3","Angola",2011,0.86268230992619,0.887547294972942,0.388059701492537,0.0474298559628705,0.050612359393641,0.0616661824076275,0.15448240885202,0.0199074066280284,0.127526160195734,0.188760300813863,0.0626712041631603,0.0803680502652273,0.110010003259098,0.130507197885132,0.101332405527078,NA,NA,NA,0.0113636363636364,0.254006147117442,0.102635341092165,0.668078584005525,0.217744778727704,0.0988948799446008,NA
"4","Antigua and Barbuda",2011,0.873305347753496,0.668018822169322,NA,0.145099299402323,0.114199948128646,0.270796614771447,0.367742473218573,0.101101238682783,0.235805175090828,0.163335037130432,0.159689039213644,0.320565541765766,0.482334098561567,0.205762776708353,0.311992955443212,NA,NA,NA,NA,NA,0.247573232824573,NA,NA,0.248484081701386,NA
"5","Argentina",2011,0.993921207063335,0.918162951442487,0.626865671641791,NA,0.00573965844300018,0.0166888014447586,0.0236230980681338,0.00132690449156807,0.0122614626265467,0.0168147901905372,0.0136686172384293,0.0297902281397746,0.0290103896844588,0.00842511542197169,0.0218888050440588,0.633333333333333,1,0.882352941176471,0.238636363636364,0.366922665293441,0.0166482891046682,0.759668941266421,NA,0.0162943518902944,0.838562091503268
"6","Aruba",2011,0.837758816660554,0,NA,0.265152962203081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.451007325926075,NA,0.429588714195543,NA,NA,NA
"7","Australia",2011,0.919896518845136,0.992580513825367,0.626865671641791,0.308209045223119,0.0222165172462004,0.0619280340057559,0.0938427216969449,0.0408676228315887,0.0677408595869074,0.0937993397737759,0.0381095148752195,0.0933069587017319,0.233084681556212,0.0198980134074803,0.159301329432289,0.255555555555556,0.244444444444444,0.617647058823529,0.386363636363636,0.713829536900444,0.0932635400206506,0.875435523190315,0.467537358432455,0.0840086902831005,0.372549019607843
"8","Bahamas",2011,0.92142563900814,0.612921579177678,NA,0.165153935983664,0.0716545984554572,0.128126436300953,0.208623723540289,0.100918771148373,0.142553712866823,0.163891759407088,0.10072700680955,0.167176729710956,0.225448476096165,0.100678768325303,0.405054917097666,NA,NA,NA,0.0568181818181818,0,0.175806267682741,0.511449072728606,NA,0.164986809068966,NA
"9","Bahrain",2011,0.984545572640165,0.857588491354032,NA,0.29258061592371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0568181818181818,0.180436251665247,NA,0.674190105219814,NA,NA,NA
"10","Bangladesh",2011,0.844039625312577,0.77443025197822,0.283582089552239,0.0146980943113986,0.0115177184999175,0.0108700245300609,0.0221809864611585,0.0284022780077341,0.0143798416049002,0.0155993157270143,0.0125108638403482,0.0173386362131123,0.0126222514688478,0.00977643456179677,0.0578248427361546,0.444444444444444,0.222222222222222,0,0.329545454545455,0.783722678690743,0.0210568080199885,0.800730851993847,0.149140091931819,0.0193657448773677,0.222222222222222
