"","country","year","Q.balance","UV.balance","energy_adequacy","gdp","polyunsatFA_percentseafood","calories_percentseafood","protein_percentseafood","vitaminA_percentseafood","thiamin_percentseafood","niacin_percentseafood","riboflavin_percentseafood","B6_percentseafood","iron_percentseafood","calcium_percentseafood","zinc_percentseafood","native","fishmeal","habitat","spp_farmed","prod_ratio","Q.balance_q","UV.balance_q","prod_ratio_q","spp_farmed_q","energy_adequacy_q","gdp_q","vitaminA_percentseafood_q","thiamin_percentseafood_q","niacin_percentseafood_q","riboflavin_percentseafood_q","B6_percentseafood_q","iron_percentseafood_q","calcium_percentseafood_q","zinc_percentseafood_q","vitamins_all","polyunsatFA_percentseafood_q","calories_percentseafood_q","protein_percentseafood_q","native_q","fishmeal_q","habitat_q","trade","fs","nutrition","ecol","totscore"
"1","Albania",2011,0.48177806,0.375072796,121,9640.1,0.004553425,0.002651805,0.013648815,0.002526933,0.003763903,0.020495278,0.003659989,0.010809414,0.002911938,0.001223584,0.005117607,NA,NA,NA,13,0.420794139682011,3,1,4,3,3,3,2,2,2,1,2,1,1,2,1.625,3,2,1,NA,NA,NA,2.66666666666667,3,2.20833333333333,NA,2.625
"2","Algeria",2011,0.144852645,2.431826699,135,13026.2,0.002710484,0.002346682,0.013232786,0.003543435,0.003461462,0.017650792,0.006300444,0.011794188,0.003569556,0.002319956,0.003938499,NA,NA,NA,19,0.0220686300521801,1,5,2,4,5,3,2,2,2,2,2,2,1,2,1.875,2,1,1,NA,NA,NA,2.66666666666667,4,1.95833333333333,NA,2.875
"3","Angola",2011,0.202797192,0.620934469,114,6949,0.010818448,0.007388986,0.070190779,0.003299634,0.012745209,0.070273911,0.016605721,0.025893914,0.011511495,0.035158838,0.013276581,NA,NA,NA,2,0.000906432748538012,2,2,1,1,2,2,2,4,4,4,3,3,5,3,3.5,4,4,4,NA,NA,NA,1.66666666666667,2,3.5,NA,2.38888888888889
"4","Antigua and Barbuda",2011,0.22943958,0.244924846,NA,19987.9,0.024222612,0.032124289,0.166155261,0.016707677,0.02347513,0.060921652,0.042110003,0.102232035,0.05000173,0.055314105,0.040639714,NA,NA,NA,NA,NA,2,1,NA,NA,NA,4,5,5,4,5,5,5,5,5,4.875,5,5,5,NA,NA,NA,NA,NA,4.95833333333333,NA,NA
"5","Argentina",2011,1.073186127,0.706951806,130,NA,0.001359353,0.0020692,0.011305652,0.00023132,0.001323041,0.007026624,0.003723803,0.009819575,0.003137892,0.002462299,0.002957488,6.7,10,7,22,0.00399345939321178,4,2,2,4,4,NA,1,1,1,1,1,2,1,1,1.125,1,1,1,2,5,5,2.66666666666667,NA,1.04166666666667,4,NA
"6","Aruba",2011,0.151807071,0.014442193,NA,36015.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.0120481927710843,1,1,2,1,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.33333333333333,NA,NA,NA,NA
"7","Australia",2011,0.394256248,0.969048299,130,41763.1,0.004832649,0.007419957,0.042903644,0.006760925,0.006820778,0.035344106,0.010148885,0.03000608,0.024234747,0.005535019,0.020806284,3.3,3.2,5.2,35,0.380115146661269,2,3,4,5,4,5,4,3,3,3,3,5,2,4,3.375,3,4,3,1,3,4,3,4.5,3.45833333333333,2.66666666666667,3.65277777777778
"8","Bahamas",2011,2.491753676,0.193924957,NA,22665.2,0.015254119,0.0152497,0.094553724,0.016677545,0.014234366,0.061126433,0.026609922,0.053482926,0.023445329,0.027170062,0.052727724,NA,NA,NA,6,0,5,1,1,2,NA,4,5,4,4,4,5,4,5,5,4.5,4,5,5,NA,NA,NA,2.33333333333333,NA,4.5,NA,NA
"9","Bahrain",2011,0.835628504,0.546903345,NA,39676.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0.000344931921331316,3,2,1,2,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA
"10","Bangladesh",2011,6.123694681,0.384475714,107,2579.3,0.002577359,0.001380973,0.010656719,0.004702445,0.001532962,0.006579532,0.00341945,0.005862285,0.001443714,0.002824215,0.007625294,5,3,1,30,0.951803277869323,5,1,5,5,1,1,3,1,1,1,1,1,2,2,1.5,2,1,1,2,2,1,3.66666666666667,1,1.83333333333333,1.66666666666667,2.16666666666667
