"","country","year","Q.balance","UV.balance","energy_adequacy","gdp","calories","protein","fat","vitaminA","calcium","iron","zinc","thiamin","riboflavin","niacin","b6","magnesium","polyunsatFA","polyunsatFA_percentseafood","calories_percentseafood","protein_percentseafood","vitaminA_percentseafood","thiamin_percentseafood","niacin_percentseafood","riboflavin_percentseafood","B6_percentseafood","iron_percentseafood","calcium_percentseafood","zinc_percentseafood","native","fishmeal","habitat","spp_farmed","prod_ratio","aq_gdp","Q.balance_q","UV.balance_q","prod_ratio_q","spp_farmed_q","energy_adequacy_q","gdp_q","calories_q","protein_q","fat_q","vitaminA_q","calcium_q","iron_q","zinc_q","thiamin_q","riboflavin_q","niacin_q","b6_q","magnesium_q","polyunsatFA_q","polyunsatFA_percentseafood_q","calories_percentseafood_q","protein_percentseafood_q","vitaminA_percentseafood_q","thiamin_percentseafood_q","niacin_percentseafood_q","riboflavin_percentseafood_q","B6_percentseafood_q","iron_percentseafood_q","calcium_percentseafood_q","zinc_percentseafood_q","vitamins_all","native_q","fishmeal_q","habitat_q","aq_gdp_q","trade","fs","reliance","nutrition","ecol","totscore"
"1","Albania",2011,0.48177806,0.375072796,121,9640.1,3188.0968,94.2687,87.0786,798.7169,1318.1609,28.2539,10.8684,1.5429,2.5168,15.7134,2.1212,371.9506,12.9762,0.004553425,0.002651805,0.013648815,0.002526933,0.003763903,0.020495278,0.003659989,0.010809414,0.002911938,0.001223584,0.005117607,NA,NA,NA,13,0.420794139682011,0.0145881850292009,3,1,4,3,3,3,4,4,3,3,5,5,2,2,5,1,3,3,1,3,2,1,2,2,2,1,2,1,1,2,1.625,NA,NA,NA,3,2.75,3,1.72727272727273,3.15384615384615,NA,2.65777972027972
"2","Algeria",2011,0.144852645,2.431826699,135,13026.2,3233.9709,83.9557,70.154,495.2772,545.1139,15.0781,9.7727,1.571,1.3434,18.0331,1.8527,394.3954,21.7676,0.002710484,0.002346682,0.013232786,0.003543435,0.003461462,0.017650792,0.006300444,0.011794188,0.003569556,0.002319956,0.003938499,NA,NA,NA,19,0.0220686300521801,0.000384611548584998,1,5,2,4,5,3,4,3,2,2,3,2,2,2,2,1,2,3,3,2,1,1,2,2,2,2,2,2,1,2,1.875,NA,NA,NA,1,2.25,4,1.72727272727273,2.38461538461538,NA,2.59047202797203
"3","Angola",2011,0.202797192,0.620934469,114,6949,2777.526,57.2553,64.1243,968.9086,466.4335,16.9219,9.8194,1.6591,1.2269,20.1632,2.8911,489.004,16.1764,0.010818448,0.007388986,0.070190779,0.003299634,0.012745209,0.070273911,0.016605721,0.025893914,0.011511495,0.035158838,0.013276581,NA,NA,NA,2,0.000906432748538012,NA,2,2,1,1,2,2,3,1,2,4,2,2,2,2,2,2,5,4,2,4,4,4,2,4,4,4,3,3,5,3,3.5,NA,NA,NA,NA,NA,2,3.63636363636364,2.53846153846154,NA,NA
"4","Antigua and Barbuda",2011,0.22943958,0.244924846,NA,19987.9,2024.0261,75.8889,60.0783,531.9453,553.2766,23.1234,15.0192,2.0929,1.8654,27.8999,1.695,233.3118,17.4025,0.024222612,0.032124289,0.166155261,0.016707677,0.02347513,0.060921652,0.042110003,0.102232035,0.05000173,0.055314105,0.040639714,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,4,1,3,2,2,3,4,4,4,4,5,1,1,3,5,5,5,5,5,4,5,5,5,5,5,4.875,NA,NA,NA,NA,NA,NA,4.90909090909091,2.84615384615385,NA,NA
"5","Argentina",2011,1.073186127,0.706951806,130,NA,2941.361,100.9762,97.6135,1339.7743,1122.7275,31.4478,18.1096,3.0483,2.1881,24.3762,1.763,240.4225,29.8113,0.001359353,0.0020692,0.011305652,0.00023132,0.001323041,0.007026624,0.003723803,0.009819575,0.003137892,0.002462299,0.002957488,6.7,10,7,22,0.00399345939321178,NA,4,2,2,4,4,NA,3,5,4,5,5,5,5,5,4,4,2,1,5,1,1,1,1,1,1,1,1,2,1,1,1.125,2,5,5,NA,NA,NA,1.09090909090909,4.07692307692308,4,NA
"6","Aruba",2011,0.151807071,0.014442193,NA,36015.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.0120481927710843,0.000222129051425652,1,1,2,1,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.25,NA,NA,NA,NA,NA
"7","Australia",2011,0.394256248,0.969048299,130,41763.1,3711.4232,109.459,186.4301,927.3746,1251.4122,15.1721,14.5842,2.4439,2.5879,23.0656,2.1712,376.6984,30.1211,0.004832649,0.007419957,0.042903644,0.006760925,0.006820778,0.035344106,0.010148885,0.03000608,0.024234747,0.005535019,0.020806284,3.3,3.2,5.2,35,0.380115146661269,0.0909628516475754,2,3,4,5,4,5,5,5,5,4,5,2,4,5,5,4,3,3,5,3,4,3,4,3,3,3,3,5,2,4,3.375,1,3,4,4,3.25,4.5,3.36363636363636,4.23076923076923,2.66666666666667,3.8361013986014
"8","Bahamas",2011,2.491753676,0.193924957,NA,22665.2,2450.8285,63.1661,95.7999,476.1618,321.3883,13.7981,7.8604,1.7628,1.4151,23.0604,1.8303,235.8513,16.4049,0.015254119,0.0152497,0.094553724,0.016677545,0.014234366,0.061126433,0.026609922,0.053482926,0.023445329,0.027170062,0.052727724,NA,NA,NA,6,0,0,5,1,1,2,NA,4,1,1,3,2,1,1,1,3,2,4,2,1,2,4,5,5,5,4,4,4,5,4,5,5,4.5,NA,NA,NA,1,2,NA,4.54545454545455,1.84615384615385,NA,NA
"9","Bahrain",2011,0.835628504,0.546903345,NA,39676.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0.000344931921331316,8.24791376298936e-05,3,2,1,2,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.75,NA,NA,NA,NA,NA
"10","Bangladesh",2011,6.123694681,0.384475714,107,2579.3,2368.308,55.3022,32.0261,168.4932,299.6337,13.817,5.3506,1.4359,0.78305,18.6761,1.5336,261.9291,7.2868,0.002577359,0.001380973,0.010656719,0.004702445,0.001532962,0.006579532,0.00341945,0.005862285,0.001443714,0.002824215,0.007625294,5,3,1,30,0.951803277869323,0.147544104702539,5,1,5,5,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,3,1,1,1,1,1,2,2,1.5,2,2,1,5,4,1,1.45454545454545,1.07692307692308,1.66666666666667,1.88286713286713
