nutri,trade,truj,MASTER
Afghanistan,,,Afghanistan
Albania,Albania,,Albania
Algeria,Algeria,,Algeria
American Samoa,,,American Samoa
Andorra,,,Andorra
Angola,Angola,,Angola
Anguilla,,,Anguilla
Antigua and Barbuda,Antigua and Barbuda,,Antigua and Barbuda
Argentina,Argentina,Argentina,Argentina
Armenia,Armenia,,Armenia
Aruba,Aruba,,Aruba
Australia,Australia,Australia,Australia
Austria,Austria,,Austria
Azerbaijan,Azerbaijan,,Azerbaijan
Bahamas,Bahamas,,Bahamas
Bahrain,Bahrain,,Bahrain
Bangladesh,Bangladesh,Bangladesh,Bangladesh
Barbados,Barbados,,Barbados
Belarus,Belarus,,Belarus
Belgium,Belgium,,Belgium
Belize,Belize,Belize,Belize
Benin,Benin,,Benin
Bermuda,Bermuda,,Bermuda
Bhutan,Bhutan,,Bhutan
Bolivia (Plurinational State of),Bolivia (Plurinat.State),,Bolivia
Bosnia and Herzegovina,Bosnia and Herzegovina,,Bosnia and Herzegovina
Botswana,Botswana,,Botswana
Brazil,Brazil,Brazil,Brazil
British Virgin Islands,,,British Virgin Islands
Brunei Darussalam,Brunei Darussalam,,Brunei
Bulgaria,Bulgaria,,Bulgaria
Burkina Faso,Burkinaaso,,Burkina Faso
Burundi,Burundi,,Burundi
Cabo Verde,Cabo Verde,,Cabo Verde
Cambodia,Cambodia,Cambodia,Cambodia
Cameroon,Cameroon,,Cameroon
Canada,Canada,Canada,Canada
Cayman Islands,Cayman Islands,,Cayman Islands
Central African Republic,Central African Republic,,Central African Republic
Chad,Chad,,Chad
Chile,Chile,Chile,Chile
China,China,China,China
,"China, Hong Kong SAR",,Hong Kong
,"China, Macao SAR",,Macao
Colombia,Colombia,Colombia,Colombia
Comoros,Comoros,,Comoros
Congo,Congo,,Congo
Cook Islands,Cook Islands,,Cook Islands
Costa Rica,Costa Rica,Costa Rica,Costa Rica
CÙte d'Ivoire,Céte d'Ivoire,,Cote dIvoire
Croatia,Croatia,,Croatia
Côte d'Ivoire,Céte d'Ivoire,,Cote dIvoire
Cuba,Cuba,,Cuba
,Curaçao,,Curaçcao
Cyprus,Cyprus,,Cyprus
Czech Republic,Czech Republic,,Czech Republic
,Czechoslovakia,,Czechoslovakia
Democratic People's Republic of Korea,"Korea, Dem. People's Rep","Korea, N.",North Korea
Democratic Republic of the Congo,"Congo, Dem. Rep. of the",,Democratic Republic of the Congo
Denmark,Denmark,Denmark,Denmark
Djibouti,Djibouti,,Djibouti
Dominica,Dominica,,Dominica
Dominican Republic,Dominican Republic,,Dominican Republic
Eastern Asia (excluding China),,,Eastern Asia
Ecuador,Ecuador,Ecuador,Ecuador
Egypt,Egypt,Egypt,Egypt
El Salvador,El Salvador,,El Salvador
Equatorial Guinea,Equatorial Guinea,,Equatorial Guinea
Eritrea,Eritrea,,Eritrea
Estonia,Estonia,,Estonia
Ethiopia,Ethiopia,,Ethiopia
,Ethiopia PDR,,Ethiopia PDR
,Falkland Is.(Malvinas),,Falkland Islands
Faroe Islands,Faroe Islands,Faeroe,Faroe Islands
Fiji,"Fiji, Republic of",,Fiji
Finland,Finland,Finland,Finland
France,France,France,France
French Guiana,French Guiana,,French Guiana
French Polynesia,French Polynesia,,French Polynesia
Gabon,Gabon,,Gabon
Gambia,Gambia,,Gambia
Georgia,Georgia,,Georgia
Germany,Germany,Germany,Germany
Ghana,Ghana,,Ghana
Gibraltar,,,Gibraltar
Greece,Greece,Greece,Greece
Greenland,Greenland,,Greenland
Grenada,Grenada,,Grenada
Guadeloupe,Guadeloupe,,Guadeloupe
Guam,Guam,,Guam
Guatemala,Guatemala,Guatemala,Guatemala
Guinea,Guinea,,Guinea
Guinea-Bissau,GuineaBissau,,Guinea-Bissau
Guyana,Guyana,,Guyana
Haiti,Haiti,,Haiti
Holy See,,,Holy See
Honduras,Honduras,Honduras,Honduras
Hungary,Hungary,,Hungary
Iceland,Iceland,Iceland,Iceland
India,India,India,India
Indonesia,Indonesia,Indonesia,Indonesia
Iran (Islamic Republic of),Iran (Islamic Rep. of),Iran,Iran
Iraq,Iraq,,Iraq
Ireland,Ireland,Ireland,Ireland
Israel,Israel,,Israel
Italy,Italy,Italy,Italy
Jamaica,Jamaica,,Jamaica
Japan,Japan,Japan,Japan
Jordan,Jordan,,Jordan
Kazakhstan,Kazakhstan,,Kazakhstan
Kenya,Kenya,,Kenya
Kiribati,Kiribati,Kiribati,Kiribati
Republic of Korea,"Korea, Republic of","Korea, S.",South Korea
Kuwait,Kuwait,,Kuwait
Kyrgyzstan,Kyrgyzstan,,Kyrgyzstan
Lao People's Democratic Republic,Lao People's Dem. Rep.,,Laos
Latvia,Latvia,,Latvia
Lebanon,Lebanon,,Lebanon
Lesotho,Lesotho,,Lesotho
Liberia,Liberia,,Liberia
Libya,Libya,,Libya
Liechtenstein,,,Liechtenstein
Lithuania,Lithuania,,Lithuania
Luxembourg,Luxembourg,,Luxembourg
Madagascar,Madagascar,Madagascar,Madagascar
Malawi,Malawi,,Malawi
Malaysia,Malaysia,Malaysia,Malaysia
Maldives,Maldives,,Maldives
Mali,Mali,,Mali
Malta,Malta,,Malta
Marshall Islands,Marshall Islands,,Marshall Islands
Martinique,Martinique,,Martinique
Mauritania,Mauritania,,Mauritania
Mauritius,Mauritius,,Mauritius
Mayotte,Mayotte,,Mayotte
Mexico,Mexico,Mexico,Mexico
Micronesia (Federated States of),"Micronesia,ed.States of",,Micronesia
Monaco,,,Monaco
Mongolia,Mongolia,,Mongolia
Montenegro,Montenegro,,Montenegro
Montserrat,,,Montserrat
Morocco,Morocco,Morocco,Morocco
Mozambique,Mozambique,,Mozambique
Myanmar,Myanmar,Myanmar,Myanmar
Namibia,Namibia,Namibia,Namibia
Nauru,,,Nauru
Nepal,Nepal,,Nepal
Netherlands,Netherlands,Netherlands,Netherlands
Netherlands Antilles,Netherlands Antilles,,Netherlands Antilles
New Caledonia,New Caledonia,,New Caledonia
New Zealand,New Zealand,New Zealand,New Zealand
Nicaragua,Nicaragua,Nicaragua,Nicaragua
Niger,Niger,,Niger
Nigeria,Nigeria,Nigeria,Nigeria
Niue,,,Niue
Northern Mariana Islands,,,Northern Mariana Islands
Norway,Norway,Norway,Norway
Oman,Oman,,Oman
Pakistan,Pakistan,Pakistan,Pakistan
Palau,Palau,,Palau
,"Palestine, Occupied Tr.",,Palestine
Panama,Panama,Panama,Panama
Papua New Guinea,Papua New Guinea,,Papua New Guinea
Paraguay,Paraguay,,Paraguay
Peru,Peru,Peru,Peru
Philippines,Philippines,Philippines,Philippines
Poland,Poland,Poland,Poland
Portugal,Portugal,Portugal,Portugal
Puerto Rico,,,Puerto Rico
Qatar,Qatar,,Qatar
Republic of Moldova,"Moldova, Republic of",,Republic of Moldova
RÈunion,R_union,,Reunion
Romania,Romania,,Romania
Russian Federation,Russianederation,Russian,Russian Federation
Rwanda,Rwanda,,Rwanda
Réunion,R_union,,Reunion
"Saint Helena, Ascension and Tristan da Cunha",Saint Helena,,Saint Helena
Saint Kitts and Nevis,Saint Kitts and Nevis,,Saint Kitts and Nevis
Saint Lucia,Saint Lucia,,Saint Lucia
Saint Pierre and Miquelon,St. Pierre and Miquelon,,Saint Pierre and Miquelon
Saint Vincent and the Grenadines,Saint Vincent/Grenadines,,Saint Vincent and the Grenadines
Samoa,Samoa,,Samoa
San Marino,,,San Marino
Sao Tome and Principe,Sao Tome and Principe,,Sao Tome and Principe
Saudi Arabia,Saudi Arabia,Saudi Arabia,Saudi Arabia
Senegal,Senegal,Senegal,Senegal
Serbia,Serbia,,Serbia
Serbia and Montenegro,Serbia and Montenegro,,Serbia and Montenegro
Seychelles,Seychelles,,Seychelles
Sierra Leone,Sierra Leone,,Sierra Leone
Singapore,Singapore,,Singapore
Slovakia,Slovakia,,Slovakia
Slovenia,Slovenia,,Slovenia
Solomon Islands,Solomon Islands,,Solomon Islands
Somalia,Somalia,,Somalia
South Africa,South Africa,South Africa,South Africa
South Sudan,,,South Sudan
Southern Africa,,,Southern Africa
Southern Asia (excluding India),,,Southern Asia
Spain,Spain,Spain,Spain
Sri Lanka,Sri Lanka,Sri Lanka,Sri Lanka
Sudan,Sudan,,Sudan
Sudan (former),Sudan (former),,Sudan (former)
Suriname,Suriname,,Suriname
Swaziland,Swaziland,,Swaziland
Sweden,Sweden,Sweden,Sweden
Switzerland,Switzerland,,Switzerland
Syrian Arab Republic,Syrian Arab Republic,,Syrian Arab Republic
,Taiwan Province of China,Taiwan,Taiwan
Tajikistan,,,Tajikistan
Thailand,Thailand,Thailand,Thailand
The former Yugoslav Republic of Macedonia,"Macedonia,mr Yug Rp of",,Macedonia
Timor-Leste,TimorLeste,,Timor-Leste
Togo,Togo,,Togo
Tokelau,,,Tokelau
Tonga,Tonga,Tonga,Tonga
Trinidad and Tobago,Trinidad and Tobago,,Trinidad and Tobago
Tunisia,Tunisia,,Tunisia
Turkey,Turkey,Turkey,Turkey
Turkmenistan,Turkmenistan,,Turkmenistan
Turks and Caicos Islands,Turks and Caicos Is.,,Turks and Caicos Islands
Tuvalu,Tuvalu,,Tuvalu
Uganda,Uganda,,Uganda
Ukraine,Ukraine,Ukraine,Ukraine
,Un. Sov. Soc. Rep.,,USSR
United Arab Emirates,United Arab Emirates,,United Arab Emirates
United Kingdom,United Kingdom,United Kingdom,United Kingdom
United Republic of Tanzania,"Tanzania, United Rep. of",,United Republic of Tanzania
United States of America,United States of America,United States,United States of America
United States Virgin Islands,,,United States Virgin Islands
Uruguay,Uruguay,,Uruguay
Uzbekistan,Uzbekistan,,Uzbekistan
Vanuatu,Vanuatu,,Vanuatu
Venezuela (Bolivarian Republic of),"Venezuela, Boliv Rep of",Venezuela,Venezuela
Viet Nam,Viet Nam,Viet Nam,Viet Nam
Wallis and Futuna Islands,,,Wallis and Futuna Islands
West Bank and Gaza Strip,,,West Bank and Gaza Strip
Yemen,Yemen,,Yemen
,Yugoslavia SFR,,Yugoslavia SFR
Zambia,Zambia,,Zambia
Zimbabwe,Zimbabwe,,Zimbabwe
