"country","prod_diversity"
"Albania",0.433887789242795
"Algeria",0.546374010454256
"Argentina",0.715033145440221
"Aruba",NA
"Australia",0.642161961671773
"Bahamas",NA
"Bahrain",0.596595875654047
"Bangladesh",0.542472379354214
"Belize",0.000613842653315766
"Benin",NA
"Bonaire/S.Eustatius/Saba",NA
"Bosnia and Herzegovina",0.620289256198347
"Brazil",0.402808093495045
"Brunei Darussalam",0.283161786061905
"Bulgaria",0
"C»te d'Ivoire",0.527959547888162
"Cambodia",0.65055016054507
"Canada",0.721684550827915
"Channel Islands",0.0622632755096564
"Chile",0.640004652111853
"China",0.884501934787175
"China, Hong Kong SAR",0.71689566308818
"Colombia",0.0946413548991285
"Cook Islands",0
"Costa Rica",0.484584052536802
"Croatia",0.693068679838194
"Cuba",0.392219387755102
"Cyprus",0.485169045937629
"Denmark",0.201748659860774
"Dominican Republic",0.4921875
"Ecuador",2.94108996732323e-05
"Egypt",0.367100613311178
"El Salvador",0.0427144723472201
"Eritrea",NA
"Estonia",NA
"Falkland Is.(Malvinas)",NA
"Faroe Islands",0
"Fiji, Republic of",0.00722012182314646
"Finland",0.128164345568144
"France",0.662748988267617
"French Polynesia",0.106535247759684
"Gambia",0
"Germany",0.0365942980334709
"Ghana",0
"Greece",0.63338507452141
"Guadeloupe",0
"Guam",0.375
"Guatemala",0
"Guyana",0.561478981956105
"Honduras",0
"Iceland",0.551892433235631
"India",0.546468812970801
"Indonesia",0.378279188135726
"Iran (Islamic Rep. of)",0.010826667490474
"Ireland",0.677426791361587
"Israel",0.368794733297971
"Italy",0.530596457813052
"Jamaica",NA
"Japan",0.827265931349902
"Jordan",0
"Kenya",NA
"Kiribati",0.00111607108063438
"Korea, Dem. People's Rep",0.210894704891908
"Korea, Republic of",0.806260787349353
"Kuwait",0.0133773197746261
"Lebanon",0
"Libya",NA
"Madagascar",0.460932602266838
"Malaysia",0.62381834860933
"Malta",0.564853815559148
"Marshall Islands",0
"Martinique",0
"Mauritius",0.245182704485376
"Mayotte",0
"Mexico",0.422776498808738
"Micronesia,ed.States of",NA
"Montenegro",0.48787949420197
"Morocco",0.573204690882931
"Mozambique",0.1171875
"Myanmar",0.510812921805431
"Namibia",0.315177961432507
"Nauru",0
"Netherlands",0.0908424746075717
"Netherlands Antilles",NA
"New Caledonia",0.0238628672781163
"New Zealand",0.189569884299248
"Nicaragua",0
"Nigeria",NA
"Northern Mariana Is.",0
"Norway",0.105405478628113
"Oman",0
"Pakistan",0
"Palau",0.719860679341528
"Palestine, Occupied Tr.",0
"Panama",0.24778780907037
"Papua New Guinea",0.00991262592510078
"Peru",0.403806210185155
"Philippines",0.484257098572709
"Poland",NA
"Portugal",0.795276326230203
"Puerto Rico",NA
"Qatar",NA
"R_union",0
"Romania",0.1171875
"Russianederation",0.433399453220999
"Saint Kitts and Nevis",0
"Saint Lucia",0
"Samoa",0
"Saudi Arabia",0.439909917229408
"Senegal",0.614894271434064
"Serbia and Montenegro",NA
"Seychelles",NA
"Singapore",0.762222662689176
"Slovenia",0.256054140046968
"Solomon Islands",0
"South Africa",0.683332452931801
"Spain",0.342965190995369
"Sri Lanka",0.0108855609278258
"St. Pierre and Miquelon",0.0965239873599539
"Suriname",0.0436799908827343
"Sweden",0.486685798376003
"Taiwan Province of China",0.817004800217163
"Tanzania, United Rep. of",0.154111396366276
"Thailand",0.727309318554556
"TimorNALeste",0.00794079106328127
"Tonga",0.0624349635796047
"Tunisia",0.337619793821505
"Turkey",0.536801190207882
"Turks and Caicos Is.",NA
"Tuvalu",0
"Ukraine",0.163359745588291
"Un. Sov. Soc. Rep.",NA
"United Arab Emirates",0.49560546875
"United Kingdom",0.24098564182119
"United States of America",0.680265727210622
"Uruguay",NA
"Vanuatu",0.236442109213736
"Venezuela, Boliv Rep of",0.000110210074288242
"Viet Nam",0.780261967434028
"Yemen",NA
"Yugoslavia SFR",NA
"Zanzibar",0.0770660152546132
