"","country","tot.capture","tot.mariculture","prod_ratio"
"1","Albania",74309,2094.2,0.0281823197728404
"2","Algeria",98124,1043.47,0.0106341975459623
"3","American Samoa",24109,NA,NA
"4","Angola",71981,NA,NA
"5","Anguilla",5083,NA,NA
"6","Antigua and Barbuda",33253,NA,NA
"7","Argentina",133958,18.33,0.000136833933023784
"8","Armenia",7315,NA,NA
"9","Aruba",4989,0,0
"10","Australia",284411,73937.3,0.259966386672808
"11","Austria",0,NA,NA
"12","Azerbaijan",13172,NA,NA
"13","Bahamas",22081,0,0
"14","Bahrain",88734,5.7,6.42369328555007e-05
"15","Bangladesh",19106,174350,9.12540563173872
"16","Barbados",19238,NA,NA
"17","Belarus",8248,NA,NA
"18","Belgium",133794,NA,NA
"19","Belize",93023,7165.76,0.0770321318383626
"20","Benin",81763,0,0
"21","Bermuda",49834,NA,NA
"22","Bolivia (Plurinat.State)",0,NA,NA
"23","Bonaire/S.Eustatius/Saba",4307,0,0
"24","Botswana",135,NA,NA
"25","Brazil",228420,87840,0.384554767533491
"26","British Indian Ocean Ter",4294,NA,NA
"27","British Virgin Islands",12845,NA,NA
"28","Brunei Darussalam",4611,704.79,0.152849707221861
"29","Bulgaria",62624,2520.1,0.0402417603474706
"30","Burkina Faso",3414,NA,NA
"31","Burundi",7806,NA,NA
"32","Cabo Verde",19577,NA,NA
"33","Cambodia",11628,4520,0.388716890264878
"34","Cameroon",55584,NA,NA
"35","Canada",180839,124886,0.690592184208052
"36","Cayman Islands",0,NA,NA
"37","Channel Islands",51357,1316.75,0.025639153377339
"38","Chile",209741,1158667,5.5242751774808
"39","China",270806,29362489.73,108.426289410131
"40","China, Hong Kong SAR",43153,1896,0.0439366903807383
"41","China, Macao SAR",4834,NA,NA
"42","Colombia",99303,3012,0.0303314099271925
"43","Comoros",27805,NA,NA
"44","Congo",97414,NA,NA
"45","Congo, Dem. Rep. of the",19285,NA,NA
"46","Cook Islands",39490,6,0.00015193719929096
"47","Costa Rica",57728,4991,0.0864571784922395
"48","Côte d'Ivoire",128152,NA,NA
"49","Croatia",190686,9341.24,0.0489875502134399
"50","Cuba",52406,5600,0.106857993359539
"51","Curaçao",9217,NA,NA
"52","Cyprus",93358,4792.3,0.0513325049808265
"53","Czech Republic",20040,NA,NA
"54","Czechoslovakia",0,NA,NA
"55","Denmark",141064,17744.9,0.125793256961379
"56","Djibouti",15102,NA,NA
"57","Dominica",8951,NA,NA
"58","Dominican Republic",105227,800,0.00760261149704924
"59","Ecuador",123919,340005,2.74376810658575
"60","Egypt",162207,908658,5.60184209066193
"61","El Salvador",32365,830,0.0256449868685308
"62","Equatorial Guinea",41382,NA,NA
"63","Eritrea",42984,0,0
"64","Estonia",87274,0,0
"65","Ethiopia",10372,NA,NA
"66","Falkland Is.(Malvinas)",38306,0,0
"67","Faroe Islands",99163,86454,0.871837278017002
"68","Fiji, Republic of",73585,552,0.00750152884419379
"69","Finland",35364,11517,0.325670173057346
"70","France",592614,160800,0.271340197835353
"71","French Guiana",21145,NA,NA
"72","French Polynesia",40234,2086.56,0.0518606153999105
