"country","calories_percentseafood","protein_percentseafood","polyunsatFA_percentseafood","vitaminA_percentseafood","zinc_percentseafood","iron_percentseafood","calories_percentseafood_norm","protein_percentseafood_norm","polyunsatFA_percentseafood_norm","vitaminA_percentseafood_norm","zinc_percentseafood_norm","iron_percentseafood_norm","mean_reliance"
"Algeria",0.00234668221659014,0.0132327858620677,0.00271048420588397,0.00354343507030003,0.00393849908418349,0.0035695558458957,0.138262812578624,0.120457920226863,0.135130691170444,0.199302454316225,0.105382788865644,0.0993551398797149,0.132981967839586
"Egypt",0.00347973345408969,0.0232898061912239,0.00560641969341251,0.00540260662924636,0.0079099900981574,0.00295106707548459,0.205020403267666,0.212006877880753,0.279507021851598,0.303872581139954,0.211648345886634,0.0821401022248525,0.21569922204191
"Libya",0.00136603051392638,0.0112828255209881,0.00254651697316128,0.00166350111961881,0.00236218188622754,0.00205482001580482,0.0804843619593816,0.102707450321306,0.126956134964205,0.0935645353506491,0.0632051219659414,0.0571939308170979,0.0873519225630968
"Morocco",0.00623490777091655,0.0356006772044415,0.0086146613662517,0.008359076920126,0.0111273867957432,0.00447870296474525,0.367350925694514,0.324072616258964,0.42948235672942,0.470160878623962,0.297736530657406,0.124660371976979,0.335577279990207
"Sudan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tunisia",0.00690627772195809,0.0371927304620841,0.00693329374911982,0.0104627669719342,0.0108396693451556,0.00957741423845561,0.406906983628365,0.338565061485918,0.345658083663591,0.588484082556833,0.290038047885124,0.266578076497065,0.372705055952816
"Burundi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Comoros",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Djibouti",0.00115175388523045,0.00920017337919865,0.00222501020435686,0.000331700562228892,0.000859590059972128,0.00100913010849383,0.0678595211761188,0.0837490882522034,0.110927474184627,0.0186566805483167,0.023000131741767,0.02808816206126,0.0553801763273822
"Eritrea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ethiopia",8.16779324018801e-06,5.19369084337429e-05,2.39680959706297e-05,7.63007739142382e-06,7.03954503146695e-06,2.90866678335577e-06,0.000481233486990841,0.000472781169298247,0.00119492501285188,0.00042915789920337,0.000188357765713451,8.0959931039061e-05,0.000474569210849476
"Kenya",9.53051266350431e-05,0.000675540346060232,0.000149441772853186,3.55991386444474e-05,0.000114305831004814,0.000138846692039224,0.00561522764717166,0.00614943716039515,0.0074503920781201,0.00200229313155756,0.00305849182579907,0.00386466358980055,0.00469008423880735
"Madagascar",0.00216098240877132,0.020303193599501,0.00751655884548395,0.00286760810882721,0.00335257004767814,0.00667099068710127,0.127321672980418,0.184819772680663,0.374736657682278,0.161290195182828,0.0897050307591967,0.185680583654493,0.18725898548998
"Malawi",0.000154699814113664,0.00129589250697469,0.000174120681347958,0.000166661811658191,0.000182118900047074,0.000525274587465644,0.00911466889446381,0.0117964968113944,0.00868075451852513,0.00937398525590971,0.00487297246536823,0.014620510888747,0.00974323147240138
"Mauritius",0.0111390493849123,0.0737813734033617,0.00779380237642367,0.0137331395088836,0.0200912302669827,0.0201389621421156,0.65629520968887,0.671631120180599,0.388558582885565,0.772427984508226,0.537582929948914,0.560548563195289,0.597840731734577
"Mayotte",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
