"","country","species","area","year","value","value.kg","relative.value","production","native","fishmeal","intensity","hatchery","habitat","waste","ecol.score","msi"
"6","Argentina","Pacific cupped oyster","Atlantic, Southwest",2000,35,3.5,0.466666666666667,10,3,10,5,7,7,10,7,6.4
"7","Argentina","River Plata mussel","Atlantic, Southwest",2000,40,2,0.533333333333333,20,7,10,7,5,7,10,7.7,7
"10","Australia","Atlantic salmon","Pacific, Southwest",2000,49415.82,4.5306518749427,0.288451630881902,10907,1,1,1,3,5,3,2.3,3.7
"22","Australia","Pacific cupped oyster","Indian Ocean, Eastern",2000,14511.96,3.09225655231195,0.0847096846575231,4693,1,10,10,10,7,10,8,7.2
"25","Australia","Southern bluefin tuna","Indian Ocean, Eastern",2000,86248.7,32.5589656474141,0.50345371535763,2649,10,1,1,1,3,1,2.8,4.1
"48","Brazil","Cupped oysters nei","Atlantic, Southwest",2000,1786.5,0.126165254237288,0.0250928075712438,14160,7,10,7,7,7,10,8,7.1
"51","Brazil","Groupers nei","Atlantic, Southwest",2000,6,2,8.42747525482578e-05,3,9,1,5,5,5,4,4.8,5.2
"139","China","Red drum","Pacific, Northwest",2000,36,0.0198347107438017,0.000247563834334683,1815,1,1,2,5,4,5,3,4.4
"238","France","European flat oyster","Mediterranean and Black Sea",2000,0,0,0,41,10,10,7,5,7,10,8.2,7.3
"257","France","Pacific cupped oyster","Mediterranean and Black Sea",2000,0,0,0,98,1,10,10,5,5,1,5.3,6.2
"285","Greece","European flat oyster","Mediterranean and Black Sea",2000,12110,131.630434782609,0.0869578891880754,92,10,10,7,5,7,10,8.2,7.3
"286","Greece","European seabass","Mediterranean and Black Sea",2000,77200,44.6242774566474,0.554347567739011,1730,10,3,5,5,5,1,4.8,5
"287","Greece","Flathead grey mullet","Mediterranean and Black Sea",2000,1547.92,0.16040621761658,0.0111150995732457,9650,10,3,5,5,5,3,5.2,5.7
"304","Iceland","Atlantic wolffish","Atlantic, Northeast",2000,13920,32.4475524475524,0.0478112461462058,429,10,3,5,8,7,5,6.3,6.7
"305","Iceland","Blue mussel","Atlantic, Northeast",2000,0,0,0,1740,7,10,7,8,8,10,8.3,8
"310","Iceland","Turbot","Atlantic, Northeast",2000,0,0,0,40,10,3,6,8,7,5,6.5,6.9
"317","Indonesia","Groupers nei","Pacific, Western Central",2000,60.64,0.0297400686611084,0.00455334220874641,2039,9,1,5,5,3,4,4.5,5
