"","country","species","area","year","value","value.kg","relative.value","production","native","fishmeal","intensity","hatchery","habitat","waste","ecol.score","msi"
"1","Albania","European seabass","Mediterranean and Black Sea",2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Albania","Gilthead seabream","Mediterranean and Black Sea",2000,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Albania","Kuruma prawn","Mediterranean and Black Sea",2000,16.71,8.355,1,2,NA,NA,NA,NA,NA,NA,NA,NA
"4","Argentina","Blue mussel","Atlantic, Southwest",2000,NA,NA,NA,NA,10,10,7,5,7,10,8.2,7.1
"5","Argentina","Longrayed whiptail","Atlantic, Southwest",2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Argentina","Pacific cupped oyster","Atlantic, Southwest",2000,35,3.5,0.466666666666667,10,3,10,5,7,7,10,7,6.4
"7","Argentina","River Plata mussel","Atlantic, Southwest",2000,40,2,0.533333333333333,20,7,10,7,5,7,10,7.7,7
"8","Australia","Abalones nei","Indian Ocean, Eastern",2000,1164.69,29.11725,0.00679856632899833,40,NA,NA,NA,NA,NA,NA,NA,NA
"9","Australia","Aquatic invertebrates nei","Indian Ocean, Eastern",2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Australia","Atlantic salmon","Pacific, Southwest",2000,49415.82,4.5306518749427,0.288451630881902,10907,1,1,1,3,5,3,2.3,3.7
"11","Australia","Australian mussel","Indian Ocean, Eastern",2000,3065.68,1.51992067426872,0.0178950869531666,2017,NA,NA,NA,NA,NA,NA,NA,NA
"12","Australia","Brown tiger prawn","Pacific, Southwest",2000,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Australia","Chinook(=Spring=King) salmon","Pacific, Southwest",2000,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Australia","Cupped oysters nei","Indian Ocean, Eastern",2000,NA,NA,NA,NA,5,10,7,7,9,10,8,7.1
"15","Australia","Eastern king prawn","Pacific, Southwest",2000,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Australia","Flat and cupped oysters nei","Indian Ocean, Eastern",2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
