"","country","native","fishmeal","intensity","hatchery","habitat","GMO","waste"
"1","Albania",NA,NA,NA,NA,NA,NA,NA
"2","Algeria",NA,NA,NA,NA,NA,NA,NA
"3","Angola",NA,NA,NA,NA,NA,NA,NA
"4","Antigua and Barbuda",NA,NA,NA,NA,NA,NA,NA
"5","Argentina",0.67,1,0.58,0.775,0.897435897435897,0.7,1
"6","Armenia",NA,NA,NA,NA,NA,NA,NA
"7","Aruba",NA,NA,NA,NA,NA,NA,NA
"8","Australia",0.33,0.32,0.32,0.5875,0.666666666666667,0.63,0.42
"9","Austria",NA,NA,NA,NA,NA,NA,NA
"10","Azerbaijan",NA,NA,NA,NA,NA,NA,NA
"11","Bahamas",NA,NA,NA,NA,NA,NA,NA
"12","Bahrain",NA,NA,NA,NA,NA,NA,NA
"13","Bangladesh",0.5,0.3,0.1,0.375,0.128205128205128,0.6,0.1
"14","Barbados",NA,NA,NA,NA,NA,NA,NA
"15","Belarus",NA,NA,NA,NA,NA,NA,NA
"16","Belgium",NA,NA,NA,NA,NA,NA,NA
"17","Belize",0.1,0.3,0.3,0.625,0.128205128205128,0.5,0.3
"18","Benin",NA,NA,NA,NA,NA,NA,NA
"19","Bermuda",NA,NA,NA,NA,NA,NA,NA
"20","Bhutan",NA,NA,NA,NA,NA,NA,NA
"21","Bolivia (Plurinat.State)",NA,NA,NA,NA,NA,NA,NA
"22","Bosnia and Herzegovina",NA,NA,NA,NA,NA,NA,NA
"23","Botswana",NA,NA,NA,NA,NA,NA,NA
"24","Brazil",0.12,0.32,0.31,0.6375,0.153846153846154,0.59,0.13
"25","Brunei Darussalam",NA,NA,NA,NA,NA,NA,NA
"26","Bulgaria",NA,NA,NA,NA,NA,NA,NA
"27","Burkinaaso",NA,NA,NA,NA,NA,NA,NA
"28","Burundi",NA,NA,NA,NA,NA,NA,NA
"29","Céte d'Ivoire",NA,NA,NA,NA,NA,NA,NA
"30","Cabo Verde",NA,NA,NA,NA,NA,NA,NA
"31","Cambodia",0.5,0.3,0.1,0.375,0.128205128205128,0.7,0.1
"32","Cameroon",NA,NA,NA,NA,NA,NA,NA
"33","Canada",0.54,0.41,0.28,0.5125,0.602564102564103,0.6,0.37
"34","Cayman Islands",NA,NA,NA,NA,NA,NA,NA
"35","Central African Republic",NA,NA,NA,NA,NA,NA,NA
"36","Chad",NA,NA,NA,NA,NA,NA,NA
