Country,Native  vs. introduced,Export domestic,Fish meal usage,Intensity level,Nutrition Protein,Hatchery vs wild,Antibiotic Drug use,Habitat alteration,Mol- Biol GMO,Code- practice CoC,Traceability,Employment,Waste water treatment
Argentina,6.7,5.0,10.0,5.8,5.8,6.2,8.2,7.0,7.0,4.6,5.0,7.0,10.0
Australia,3.3,5.8,3.2,3.2,3.2,4.7,3.4,5.2,6.3,5.7,4.5,5.0,4.2
Bangladesh,5.0,5.0,3.0,1.0,1.0,3.0,1.0,1.0,6.0,4.0,1.0,5.0,1.0
Belize,1.0,5.0,3.0,3.0,3.0,5.0,1.0,1.0,5.0,7.0,3.0,5.0,3.0
Brazil,1.2,5.0,3.2,3.1,3.1,5.1,1.3,1.2,5.9,7.0,5.1,5.1,1.3
Cambodia,5.0,5.0,3.0,1.0,1.0,3.0,10.0,1.0,7.0,3.0,5.0,3.0,1.0
Canada,5.4,5.1,4.1,2.8,2.8,4.1,3.2,4.7,6.0,5.1,4.0,4.6,3.7
Chile,3.1,3.0,3.2,3.2,3.2,3.5,3.2,3.2,5.2,4.2,4.7,5.0,3.9
China,2.6,3.4,9.9,6.9,6.9,4.9,9.8,5.2,7.1,6.0,5.8,6.1,1.9
Colombia,10.0,5.0,3.0,3.0,3.0,5.0,1.0,3.0,5.0,3.0,5.0,5.0,3.0
Costa Rica,10.0,5.0,3.0,1.0,1.0,5.0,5.0,3.0,5.0,5.0,5.0,3.0,5.0
Denmark,10.0,7.0,3.3,3.2,3.2,3.2,5.2,6.0,7.1,5.0,5.1,6.9,7.1
Ecuador,9.9,5.0,3.0,5.0,5.0,5.0,1.0,1.0,5.0,3.0,5.0,5.0,3.0
Egypt,9.6,4.8,2.9,4.8,4.8,5.0,3.9,4.9,6.7,5.1,5.1,7.0,4.8
Faeroe,10.0,1.0,3.0,1.0,1.0,5.0,1.0,3.0,7.0,6.0,5.0,5.0,5.0
Finland,10.0,1.0,3.0,2.0,2.0,5.0,1.0,3.0,6.0,7.0,5.0,5.0,7.0
France,3.8,5.5,9.8,9.6,9.6,5.9,9.8,5.6,7.8,7.1,7.7,6.7,3.6
Germany,10.0,7.0,10.0,9.0,9.0,8.0,10.0,7.0,10.0,5.0,7.0,6.0,10.0
Greece,10.0,3.9,1.9,2.7,2.7,3.9,1.9,3.9,4.2,5.0,5.0,6.6,1.0
Guatemala,5.0,5.0,1.0,3.0,3.0,5.0,1.0,5.0,5.0,1.0,1.0,3.0,5.0
Honduras,5.0,5.0,1.0,5.0,5.0,3.0,1.0,1.0,5.0,2.0,2.0,3.0,1.0
Iceland,3.4,5.0,4.6,5.0,5.0,8.0,8.2,6.0,7.4,7.0,10.0,5.0,5.0
India,10.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,7.0,4.0,5.0,7.0,1.0
