Country,Common name,Native vs. introduced,Fish meal usage,Intensity level,Hatchery vs wild,Habitat alteration,Waste water treatment,Ecological,MSI
Argentina,Blue mussel,10,10,7,5,7,10,8.2,7.1
Argentina,Pacific cupped oyster,3,10,5,7,7,10,7.0,6.4
Argentina,River Plata mussel,7,10,7,5,7,10,7.7,7.0
Australia,Atlantic salmon,1,1,1,3,5,3,2.3,3.7
Australia,Barramundi,5,3,1,5,5,1,3.3,4.0
Australia,Cupped oysters nei,5,10,7,7,9,10,8.0,7.1
Australia,Flat oysters nei,5,10,7,7,7,9,7.5,7.4
Australia,Giant tiger prawn,10,1,1,5,5,1,3.8,4.9
Australia,Giant tiger prawn (br),10,1,1,5,5,1,3.8,4.9
Australia,Kuruma prawn,10,1,5,4,5,5,5.0,5.0
Australia,Pacific cupped oyster,1,10,10,10,7,10,8.0,7.2
Australia,Pacific cupped oyster (br),1,10,8,10,7,10,7.7,7.0
Australia,Southern bluefin tuna,10,1,1,1,3,1,2.8,4.1
Bangladesh,Penaeus shrimps nei,5,3,1,3,1,1,2.3,3.5
Belize,Whiteleg shrimp,1,3,3,5,1,3,2.7,3.7
Brazil,Cupped oysters nei,7,10,7,7,7,10,8.0,7.1
Brazil,Groupers nei,9,1,5,5,5,4,4.8,5.2
Brazil,Whiteleg shrimp,1,3,3,5,1,1,2.3,4.0
Cambodia,Penaeus shrimps nei,5,3,1,3,1,1,2.3,3.5
Canada,Atlantic bluefin tuna,10,10,5,1,3,1,5.0,5.0
Canada,Atlantic cod,10,1,3,3,3,3,3.8,4.7
Canada,Atlantic salmon (Atl),10,1,1,3,5,1,3.5,4.1
Canada,Atlantic salmon (Pac),1,3,2,3,3,2,2.3,3.4
Canada,Blue mussel,10,10,9,8,8,10,9.2,8.2
Canada,Coho(=Silver)salmon,10,2,1,5,3,3,4.0,4.1
Canada,Pacific cupped oyster,1,10,1,5,7,10,5.7,6.1
Chile,Abalones nei,1,10,1,7,3,3,4.2,3.9
Chile,Atlantic salmon,1,1,1,1,1,2,1.2,2.5
Chile,Coho(=Silver)salmon,1,1,1,5,1,2,1.8,2.8
Chile,Gracilaria seaweeds,10,10,10,7,10,10,9.5,8.4
Chile,Pacific cupped oyster,1,10,7,5,7,1,5.2,5.6
China,Blood cockle,10,10,7,3,5,7,7.0,7.0
China,Groupers nei,9,1,5,5,5,4,4.8,5.3
China,Laver (Nori),10,10,7,5,7,5,7.3,6.8
China,Pacific cupped oyster,1,10,7,5,5,1,4.8,5.4
China,Red drum,1,1,2,5,4,5,3.0,4.4
China,Whiteleg shrimp,1,3,1,5,3,3,2.7,3.9
Colombia,Cupped oysters nei,5,10,7,7,7,10,7.7,6.9
Colombia,Whiteleg shrimp (Atl),10,3,3,5,3,3,4.5,4.7
Colombia,Whiteleg shrimp (Pac),10,3,3,5,3,3,4.5,4.7
