"","country_ID","country_name","region","region2","Aq.prod","F.prod","Q.Exp","V.Exp","Q.imp","V.imp","Population","GDP","gross.production.ratio","Q.trade.deficit","V.trade.deficit","willingness","gdppc","DTF","Control of Corruption","Government effectiveness","Political stability","Regulatory quality","Rule of law","Voice and accountability","energy_adequacy","protein","polyunsatFA","vitaminA","zinc","iron","calories_percentseafood","protein_percentseafood","polyunsatFA_percentseafood","vitaminA_percentseafood","zinc_percentseafood","iron_percentseafood","gross.production.ratio_norm","Q.trade.deficit_norm","V.trade.deficit_norm","willingness_norm","gdppc_norm","DTF_norm","Control of Corruption_norm","Government effectiveness_norm","Political stability_norm","Regulatory quality_norm","Rule of law_norm","Voice and accountability_norm","energy_adequacy_norm","protein_norm","polyunsatFA_norm","vitaminA_norm","zinc_norm","iron_norm","calories_percentseafood_norm","protein_percentseafood_norm","polyunsatFA_percentseafood_norm","vitaminA_percentseafood_norm","zinc_percentseafood_norm","iron_percentseafood_norm","mean_econ","mean_nutrition","mean_reliance","econ_opportunity","mean_malnutrition","reliance_mal","mariculture_opportunity"
"1",8,"Antigua and Barbuda","Caribbean Islands","Latin America and Caribbean",NA,2725,115,899,1639,6422,88152,1761975489,NA,0.0701647345942648,0.139987542821551,274365.538617253,19987.9241423904,64.33,1.31,0.48,0.98,0.62,0.97,0.53,NA,75.8889,17.4025,531.9453,15.0192,23.1234,0.032124289,0.166155261,0.024222612,0.016707677,0.040639714,0.05000173,NA,0.0236013126493451,0.0306382575529719,0.116817025743526,0.640474133591421,0.883338368165216,1,0.44280442804428,1,0.611439842209073,0.936293436293436,0.495327102803738,NA,0.756966909623085,0.642392872382994,0.424574745466009,0.989503587965098,0.847993170111316,1,1,1,1,1,1,0.202882682384316,0.539213915294425,1,0.797117317615684,0.460786084705575,0.678812260279361,0.75263446744042
"2",11,"Argentina","South America","Latin America and Caribbean",368,775063,425781,1440399,44569,160090,41655616,8.22e+11,0.00047480011302307,9.55329937849178,8.99743269410956,5134611.78087326,19733.2335692743,56.57,-0.4,-0.14,0.14,-0.72,-0.59,0.32,130,100.9762,29.8113,1339.7743,18.1096,31.4478,0.0020692,0.011305652,0.001359353,0.00023132,0.002957488,0.003137892,0.000977366190773466,1,1,1,0.632313069791679,0.776783017054349,-0.371747211895911,-0.129151291512915,0.151843817787419,-0.710059171597633,-0.569498069498069,0.299065420560748,0.962962962962963,1,1,1,1,1,0.157617957258781,0.130567494680158,0.0899778105750021,0.0174526553341402,0.106914276049537,0.13389810179552,0.72665808719649,1,0.106071382615523,0.27334191280351,0,0,0.126471098473011
"3",17,"Bahamas","Caribbean Islands","Latin America and Caribbean",0,15150,2540,75293,3892,21981,366711,8311566260,0,0.65262076053443,3.42536736272235,378125.028888586,22665.1675570136,65.4,1.36,0.96,1.09,0.49,0.57,0.95,NA,63.1661,16.4049,476.1618,7.8604,13.7981,0.0152497,0.094553724,0.015254119,0.016677545,0.052727724,0.023445329,0,0.219522053349083,0.749690189265006,0.160994859108635,0.726261189024433,0.898030923021998,1,0.88560885608856,1,0.483234714003945,0.55019305019305,0.88785046728972,NA,0.630061148731142,0.605567638681556,0.380050871838959,0.517863401701879,0.506010991485376,1,1,1,1,1,1,0.371293658149431,0.179142658216316,1,0.628706341850569,0.820857341783684,0.906011777949759,0.816521227878084
"4",23,"Barbados","Caribbean Islands","Latin America and Caribbean",NA,1703,124,532,5930,22151,280602,4322618070,NA,0.0209106239460371,0.0240169744029615,195143.24725746,15404.8013556568,NA,1.76,1.46,1.27,0.6,1.04,1.19,123,75.932,27.462,391.1581,9.0119,17.7701,0.022854964,0.135514013,0.017830854,0.040908824,0.04173515,0.027626597,NA,0.00703370683716152,0.00525645520001075,0.0830864322590858,0.493616882429906,NA,1,1,1,0.591715976331361,1,1,0.911111111111111,0.757396817999735,1,0.312204752527126,0.593727188158002,0.651674210202439,1,1,1,1,1,1,0.147248369181541,0.489999597162401,1,0.852751630818459,0.510000402837599,0.714143124896963,0.787584011218686
"5",26,"Belize","Mesoamerica","Latin America and Caribbean",5047,275036,6004,25408,178,366,329193,2589828755,0.0183503250483573,33.7303370786517,69.4207650273224,7076034.84972678,7867.20481601978,61.11,-0.26,-0.36,0.15,-0.53,-0.49,0.68,125,68.9232,16.1639,375.2132,13.2048,29.5915,0.007362996,0.050835278,0.008581759,0.002254132,0.014975062,0.011276042,0.0377737637377025,1,1,1,0.252089269122267,0.839123389998078,-0.241635687732342,-0.33210332103321,0.162689804772234,-0.522682445759369,-0.472972972972973,0.635514018691589,0.925925925925926,0.687486334698932,0.596671406402039,0.299478252529888,0.869966241767972,1,0.560864289979015,0.587089969674402,0.568040741221978,0.17006998475556,0.541353984370157,0.481163985110565,0.657972606571994,0.53504740992539,0.484763825851946,0.342027393428006,0.46495259007461,0.474754880337569,0.430581269784854
"6",37,"Brazil","South America","Latin America and Caribbean",88255,518679,38012,222244,347745,1261681,200517584,2.97e+12,0.170153408948502,0.109309982889761,0.176149121687653,2354002.31912821,14811.6685866313,53.34,0.15,-0.12,-0.14,0.17,0,0.47,133,98.2038,31.7616,879.9547,16.7447,35.0344,0.002071873,0.013383118,0.001054427,0.000744331,0.002634625,0.00240003,0.350257265299,0.0367686003060388,0.0385527315446619,1,0.474611097054695,0.732430725290418,0.139405204460967,-0.11070110701107,-0.151843817787419,0.167652859960552,0,0.439252336448598,0.985185185185185,0.979550724799589,1,0.702340151842903,1,1,0.157821568702698,0.154559877508075,0.069794257173205,0.0561583624309005,0.0952426601687008,0.102412530849469,0.380037938840879,0.91311711672014,0.105998209472175,0.619962061159121,0.0868828832798604,0.0959657754694097,0.270947717970385
"7",60,"Chile","South America","Latin America and Caribbean",928111,3465701,774961,4064457,62348,208485,17201305,3.49e+11,0.267798924373453,12.4296047988709,19.4952010936039,1673981.34158333,20289.1582935132,69.66,1.52,1.25,0.46,1.47,1.36,1.07,122,90.0295,18.9682,641.4244,15.9104,31.4028,0.00518686,0.030414831,0.004853595,0.000876512,0.006356776,0.005840937,0.551258534758174,1,1,0.712733539567148,0.650126595776793,0.95652651525554,1,1,0.498915401301518,1,1,1,0.903703703703704,0.898014760919074,0.700188851138349,0.511956025113273,1,1,0.395100656189485,0.351256900954531,0.32126743496191,0.0661311682182167,0.229799784157728,0.249240693117297,0.782823734020423,0.721310705642973,0.268799439599861,0.217176265979577,0.278689294357027,0.273699700667812,0.254888333312155
"8",67,"Colombia","South America","Latin America and Caribbean",9522,59285,65392,188051,111911,291621,46406446,5.34e+11,0.160613983301004,0.584321469739346,0.644847250369486,1831143.84766529,11507.0221063686,66.85,-0.3,0.06,-1.26,0.37,-0.29,-0.09,115,64.1399,17.4809,2151.2435,11.3612,25.9222,0.002398648,0.018151463,0.002565831,3.49e-05,0.002808338,0.002406229,0.330620555341417,0.196548220053702,0.141133959071853,0.779648854848436,0.368720131279843,0.917941394556889,-0.278810408921933,0.055350553505535,-1.36659436008677,0.364891518737673,-0.27992277992278,-0.0841121495327103,0.851851851851852,0.639774484628631,0.645286916410854,1,0.748505124346774,0.950632197438938,0.182713124851567,0.209628869585724,0.169836573491557,0.00263313881705643,0.101522448839151,0.102677050575779,0.36333434411905,0.669098574075412,0.128168534360139,0.63666565588095,0.330901425924588,0.205939677523382,0.365245205388559
"9",76,"Costa Rica","Mesoamerica","Latin America and Caribbean",3089,19692,24735,128399,39513,72257,4600487,61633610801,0.156865732277067,0.625996507478551,1.77697662510207,852977.715667686,13397.1926887306,56.4,0.59,0.34,0.5,0.45,0.42,1.04,118,79.5574,20.0279,4272.2312,14.577,29.9328,0.002477534,0.017586988,0.002415046,0.000122395,0.004224655,0.003443831,0.322904858304188,0.210566453017083,0.388916516485254,0.36317359779214,0.429286969409413,0.774448685908879,0.548327137546468,0.313653136531365,0.542299349240781,0.443786982248521,0.405405405405405,0.97196261682243,0.874074074074074,0.793558994999896,0.739306433489405,1,0.960370312784119,1,0.188722138081953,0.203109821718376,0.15985586637019,0.00923447064508943,0.15272282791479,0.146952933308274,0.342969679001616,0.825095120125328,0.143433009673112,0.657030320998384,0.174904879874672,0.158389183112163,0.325122736848723
"10",82,"Cuba","Caribbean Islands","Latin America and Caribbean",3974,19824,4347,66214,13614,30727,11323570,2.14e+11,0.20046408393866,0.319303657999119,2.15491261756761,6964558.85703128,18898.6335581446,NA,0.35,-0.41,0.28,-1.65,-0.61,-1.53,131,82.5926,17.2826,1041.2889,14.1496,38.3092,0.001280082,0.009286474,0.001356567,0.000513954,0.001785732,0.00139525,0.412651161472029,0.107404175417956,0.471633164283396,1,0.605569936527029,NA,0.325278810408922,-0.378228782287823,0.303687635574837,-1.62721893491124,-0.588803088803089,-1.42990654205607,0.97037037037037,0.823834120401477,0.637966904539367,0.831109833424754,0.932212099730408,1,0.0975081722229536,0.107248272332496,0.0897934006533247,0.0387768546584934,0.0645548668324238,0.059537207313126,0.519451687540082,0.77464370873141,0.0762364623354695,0.480548312459918,0.22535629126859,0.131073896758123,0.260713688687992
