name,country_ID
Afghanistan,1
Albania,2
Algeria,3
American Samoa,4
Andorra,5
Angola,6
Anguilla,7
Antigua and Barbuda,8
Antigua And Barbuda,8
Arab World,10
Argentina,11
Armenia,12
Aruba,13
Australia,14
Austria,15
Azerbaijan,16
Bahamas,17
"Bahamas, The",17
Bahrain,19
Bangladesh,20
Bangladesh - Chittagong,20
Bangladesh - Dhaka ,20
Barbados,23
Belarus,24
Belgium,25
Belize,26
Benin,27
Bermuda,28
Bhutan,29
Bolivia,30
Bolivia (Plurinat.State),30
Bolivia (Plurinational State of),30
Bonaire/S.Eustatius/Saba,33
Bosnia and Herzegovina,34
Bosnia And Herzegovina,34
Botswana,36
Brazil,37
Brazil - Rio de Janeiro,37
Brazil - SÃ£o Paulo ,37
British Indian Ocean Ter,40
British Virgin Islands,41
Brunei Darussalam,42
Bulgaria,43
Burkina Faso,44
Burkinaaso,44
Burundi,46
Cªte d'Ivoire,47
Cabo Verde,48
Cambodia,49
Cameroon,50
Canada,51
Cape Verde,52
Caribbean small states,53
Cayman Islands,54
Central African Republic,55
Central Europe and the Baltics,56
C»te d'Ivoire,47
Chad,58
Channel Islands,59
Chile,60
China,61
China - Beijing,61
China - Shanghai,61
"China, Hong Kong SAR",64
"China, Macao SAR",65
CÃ´te D'Ivoire,47
Colombia,67
Comoros,68
Congo,69
"Congo, Dem Rep",70
"Congo, Dem. Rep.",70
"Congo, Dem. Rep. of the",70
"Congo, Rep",69
"Congo, Rep.",69
Cook Islands,75
Costa Rica,76
Cote d'Ivoire,47
CÙte d'Ivoire,47
Cote dâ€™Ivoire,47
Croatia,80
Côte d'Ivoire,47
Cuba,82
Curaçao,83
Curacao,83
Cyprus,85
Czech Republic,86
Czechoslovakia,87
Democratic People's Republic of Korea,88
Democratic Republic of the Congo,70
Denmark,90
Djibouti,91
Dominica,92
Dominican Republic,93
Early-demographic dividend,94
East Asia & Pacific,95
East Asia & Pacific (excluding high income),96
East Asia & Pacific (IDA & IBRD countries),97
Eastern Asia (excluding China),98
Ecuador,99
Egypt,100
"Egypt, Arab Rep",100
"Egypt, Arab Rep.",100
El Salvador,103
Equatorial Guinea,104
Eritrea,105
Estonia,106
Ethiopia,107
Ethiopia PDR,107
Euro area,109
Europe & Central Asia,110
Europe & Central Asia (excluding high income),111
Europe & Central Asia (IDA & IBRD countries),112
European Union,113
Falkland Is.(Malvinas),114
Falkland Is.,114
Faroe Islands,115
Fiji,116
"Fiji, Republic of",116
Finland,118
Fragile and conflict affected situations,119
France,120
French Guiana,121
French Polynesia,122
French Southern Terr,123
Gabon,124
Gambia,125
"Gambia, The",125
Georgia,127
Germany,128
Ghana,129
Gibraltar,130
Greece,131
Greenland,132
Grenada,133
Guadeloupe,134
Guam,135
Guatemala,136
Guinea,137
Guinea-Bissau,138
GuineaBissau,138
Guyana,140
Haiti,141
Heavily indebted poor countries (HIPC),142
High income,143
Holy See,144
Honduras,145
"Hong Kong Sar, China",64
"Hong Kong SAR, China",64
Hungary,148
IBRD only,149
Iceland,150
IDA & IBRD total,151
IDA blend,152
IDA only,153
IDA total,154
India,155
India - Delhi,155
India - Mumbai,155
Indonesia,158
Indonesia - Jakarta,158
Indonesia - Surabaya,158
Iran (Islamic Rep. of),161
Iran (Islamic Republic of),161
"Iran, Islamic Rep",161
"Iran, Islamic Rep.",161
Iran,161
Iraq,165
Ireland,166
Isle of Man,167
Israel,168
Italy,169
Ivory Coast,47
Jamaica,170
Japan,171
Japan - Osaka,171
Japan - Tokyo,171
"Jersey, Channel Islands",174
Jordan,175
Kazakhstan,176
Kenya,177
Kiribati,178
"Korea, Dem. People's Rep",88
"Korea, Dem. Peopleâ€™s Rep.",88
"Korea, Dem. People‰Ûªs Rep.",88
