country,stocks,species,catch,perc_below_08,perc_catch_below_08,perc_below_05,perc_catch_below_05
Albania,38,34,2012.861,0.605263158,0.417226525,0.263157895,0.077596516
Algeria,32,28,49602.503,0.625,0.678449392,0.25,0.266282228
American Samoa,11,11,483,0.636363636,0.033126294,0.272727273,0.02484472
Angola,29,29,464426.079,0.724137931,0.882555829,0.275862069,0.557198445
Anguilla,1,1,144,1,1,0,0
Antigua and Barbuda,15,15,1176,0.666666667,0.715136054,0.133333333,0.085884354
Argentina,59,57,1004535.409,0.525423729,0.563922381,0.203389831,0.505867683
Aruba,3,3,93,0.666666667,0.516129032,0,0
Australia,137,79,91695.8,0.576642336,0.550146244,0.240875912,0.239008766
Bahamas,6,6,12915,0.666666667,0.060704607,0.166666667,0.004645761
Bahrain,45,45,10736,0.533333333,0.38766766,0.177777778,0.028688525
Bangladesh,2,2,235075,0.5,0.012923535,0,0
Barbados,7,7,539,0.714285714,0.107606679,0.142857143,0.072356215
Belgium,79,37,23338.446,0.481012658,0.321416687,0.227848101,0.078014834
Belize,21,18,189788.963,0.523809524,0.799335423,0.238095238,0.362529158
Benin,34,34,9214.543,0.529411765,0.338004283,0.176470588,0.117423078
Bermuda,22,21,352,0.363636364,0.301136364,0.227272727,0.232954545
Brazil,89,89,437755,0.505617978,0.552027961,0.191011236,0.086315405
British Indian Ocean Ter,1,1,1,0,0,0,0
British Virgin Islands,10,10,389,0.8,0.354755784,0.2,0.167095116
Bulgaria,36,29,5800.379,0.75,0.216522058,0.555555556,0.195420679
Cabo Verde,5,5,2396,0.4,0.002921536,0.4,0.002921536
Cambodia,3,3,18700,0.666666667,0.702139037,0.333333333,0.473262032
Cameroon,24,24,61015.033,0.75,0.100123407,0.25,0.016782749
Canada,92,72,627780.66,0.630434783,0.477380676,0.380434783,0.354239044
Channel Islands,61,27,2752.269,0.491803279,0.26955432,0.163934426,2.88E-04
Chile,86,81,1845404.28,0.511627907,0.366080992,0.26744186,0.315179409
China,54,45,9023012.174,0.537037037,0.38165065,0.166666667,0.161786932
China Hong Kong SAR,22,22,52795,0.681818182,0.429870253,0.181818182,0.135997727
China Macao SAR,1,1,230,1,1,1,1
Colombia,41,33,27680,0.804878049,0.406069364,0.268292683,0.077781792
Comoros,16,14,16586.801,0.4375,0.831570596,0.1875,0.117721615
Congo,38,38,37121.382,0.447368421,0.187379904,0.157894737,0.087591189
Cook Islands,7,7,373,0.714285714,0.372654155,0.285714286,0.158176944
Costa Rica,19,14,7534,0.736842105,0.984868596,0.368421053,0.677594903
Croatia,36,32,14928.3,0.555555556,0.099713162,0.305555556,0.063654736
Cuba,31,31,14191,0.806451613,0.697061518,0.451612903,0.416883941
Cyprus,37,32,650.753,0.567567568,0.395114583,0.27027027,0.146106126
Democratic People's Republic of Korea,3,3,69020,1,1,0.666666667,0.955085482
Democratic Republic of the Congo,9,9,3247.447,0.777777778,0.879905661,0.222222222,0.203236573
Denmark,105,60,641506.452,0.552380952,0.134570408,0.285714286,0.081466192
Djibouti,7,7,1756,1,1,0.285714286,0.411161731
Dominica,4,4,169,0.25,0.00591716,0,0
Dominican Republic,36,36,8648,0.638888889,0.487974098,0.222222222,0.093778908
Ecuador,33,28,345446.218,0.545454545,0.365446557,0.242424242,0.227928768
Egypt,54,45,86525.579,0.62962963,0.734009223,0.222222222,0.245719246
El Salvador,5,5,12274,0.8,0.006029004,0.8,0.006029004
Equatorial Guinea,3,3,431.983,0.666666667,0.942166706,0.333333333,0.63428422
Eritrea,15,15,3970,0.666666667,0.75768262,0.2,0.069521411
Estonia,54,29,49016.596,0.62962963,0.148997352,0.37037037,0.098851173
Falkland Is.,14,14,84796,0.571428571,0.110158498,0.357142857,0.095051653
Faroe Islands,91,43,212402.114,0.582417582,0.373433863,0.307692308,0.091540233
Fiji,26,26,15561,0.576923077,0.223186171,0.153846154,0.064263222
Finland,40,14,47176.966,0.425,0.179580009,0.2,0.021351797
France,267,170,264782.042,0.460674157,0.325625191,0.243445693,0.221234063
French Guiana,10,10,3390,0.8,0.986725664,0.4,0.811504425
French Polynesia,13,13,2820,0.461538462,0.222340426,0.307692308,0.218085106
French Southern Terr,1,1,390,1,1,0,0
Gabon,28,28,10845.276,0.821428571,0.784698886,0.321428571,0.051635385
Gambia,29,29,33332.283,0.586206897,0.435157442,0.310344828,0.082172589
Georgia,16,12,8839.45,0.625,0.504215308,0.25,0.155402881
Germany,122,66,174717.516,0.598360656,0.468790874,0.336065574,0.235967211
Ghana,46,45,177346.497,0.586956522,0.260233186,0.282608696,0.119669688
Greece,71,59,38416.088,0.61971831,0.447633424,0.253521127,0.172530634
Greenland,56,19,161605.978,0.660714286,0.841312751,0.392857143,0.107137144
Grenada,24,24,1084,0.583333333,0.365313653,0.166666667,0.157749077
Guadeloupe,4,4,2530,0.5,0.691699605,0,0
Guam,16,16,157,0.625,0.579617834,0.25,0.076433121
Guatemala,5,3,4039,0.6,0.083931666,0.6,0.083931666
Guinea,16,16,88988.606,0.625,0.230890301,0.25,0.020620617
Guinea-Bissau,21,21,3588.529,0.666666667,0.772330111,0.19047619,0.12874356
Guyana,5,5,26162,0.4,0.042619066,0.2,0.019570369
Haiti,3,3,550,1,1,0.666666667,0.636363636
High Seas Tuna and Billfish,37,12,4315874,0.351351351,0.109329883,0.216216216,0.014162601
Honduras,7,5,2713,0.714285714,1,0.571428571,0.985256174
Iceland,75,37,594945.045,0.493333333,0.300607146,0.28,0.106504961
India,78,40,2430416,0.576923077,0.555876443,0.179487179,0.146732494
Indonesia,157,87,3422397,0.363057325,0.36273378,0.152866242,0.205478499
Iran,44,44,309303,0.227272727,0.128676411,0.113636364,0.081589897
Iraq,9,9,5415,0.666666667,0.44598338,0.111111111,0.004616805
Ireland,103,59,211491.86,0.524271845,0.286014511,0.262135922,0.031150419
Isle of Man,54,17,5836.454,0.481481481,0.901433473,0.259259259,0.003802137
Israel,23,21,1115.336,0.826086957,0.792713586,0.304347826,0.238493154
Italy,92,81,101151.5,0.619565217,0.332675195,0.304347826,0.094154363
Ivory Coast,42,42,20558.143,0.547619048,0.217286162,0.261904762,0.083956999
Jamaica,1,1,350,1,1,0,0
Japan,130,86,2828180.894,0.638461538,0.684081019,0.361538462,0.238554907
Jordan,7,7,87,0.428571429,0.275862069,0.142857143,0.103448276
Kenya,14,14,3399,0.785714286,0.776699029,0.357142857,0.253898205
Kiribati,10,10,1711,0.6,0.945645821,0.2,0.253068381
Kuwait,19,19,3750,0.421052632,0.618666667,0.105263158,0.469333333
Latvia,53,29,92634.987,0.603773585,0.413692334,0.339622642,0.153062492
Lebanon,14,14,2812,0.785714286,0.920697013,0.357142857,0.250711238
Liberia,37,37,5718.835,0.675675676,0.714938619,0.243243243,0.31566062
Libya,6,6,14460,0.666666667,0.464038728,0.333333333,0.131396957
Lithuania,70,40,140343.628,0.642857143,0.491905724,0.342857143,0.403717944
Madagascar,10,10,26668,0.3,0.48740063,0.2,0.381505925
Malaysia,99,52,837884,0.474747475,0.325234758,0.101010101,0.116121086
Maldives,3,3,2538,0,0,0,0
Malta,39,35,883.198,0.512820513,0.6933032,0.205128205,0.568664105
Marshall Islands,1,1,17,0,0,0,0
Martinique,7,7,1052,0.571428571,0.850760456,0,0
Mauritania,32,31,306569.163,0.59375,0.845525569,0.28125,0.23743465
Mauritius,13,13,3917,0.846153846,0.837886137,0.230769231,0.051059484
Mayotte,4,4,14,0.75,0.5,0,0
Mexico,120,94,1185145,0.55,0.202051226,0.258333333,0.130121631
Micronesia,5,5,113,0.2,0.17699115,0.2,0.17699115
Montenegro,21,17,273.162,0.380952381,0.281290956,0.142857143,0.122663474
Morocco,91,51,951309.192,0.56043956,0.839920618,0.197802198,0.465424773
Mozambique,9,9,14055,0.777777778,0.703593027,0.222222222,0.431874778
Multinational,4,4,542407,0.5,0.962566855,0.25,0.96237696
Myanmar,1,1,46500,1,1,1,1
Namibia,15,15,460117.848,0.733333333,0.988150538,0.2,0.317390426
Nauru,4,4,19,0.5,0.315789474,0.25,0.263157895
Netherlands,111,63,355661.401,0.486486486,0.502739554,0.234234234,0.113742632
Netherlands Antilles,3,3,0,0.333333333,NaN,0,NaN
New Caledonia,10,10,2592,0.7,0.19367284,0.1,0.008101852
New Zealand,133,109,404131.96,0.345864662,0.184506566,0.135338346,0.133105038
Nicaragua,32,22,15082,0.59375,0.639504045,0.1875,0.138509482
Nigeria,32,32,305030.694,0.5625,0.664443605,0.21875,0.137300937
Niue,2,2,2,0.5,1,0,0
Northern Mariana Is.,10,10,41,0.6,0.780487805,0.2,0.268292683
Norway,116,64,1277030.509,0.543103448,0.271074999,0.293103448,0.075711988
Oman,29,29,118800,0.586206897,0.575084175,0.206896552,0.188181818
Other nei,24,16,21185.935,0.5,0.21023075,0.083333333,0.152173364
Pakistan,44,44,277764,0.681818182,0.745438574,0.227272727,0.149915036
Palau,10,10,36,0.6,0.305555556,0.2,0
Palestine,20,20,1369,0.75,0.937910884,0.3,0.19284149
Panama,24,22,98493.223,0.625,0.514799907,0.333333333,0.010802774
Papua New Guinea,10,10,1633,0.5,0.353337416,0.4,0.167176975
Peru,43,40,7927013.175,0.604651163,0.047591069,0.302325581,0.039662105
Philippines,68,68,1541654,0.588235294,0.569880142,0.205882353,0.234594144
Poland,91,49,144871.683,0.626373626,0.456489651,0.417582418,0.174021931
Portugal,269,175,267079.888,0.568773234,0.438404359,0.26394052,0.322899319
Puerto Rico,32,32,432,0.59375,0.527777778,0.09375,0.173611111
Qatar,24,24,9732,0.541666667,0.626798192,0.208333333,0.094122483
Republic of Korea,167,98,1217285.735,0.622754491,0.343297847,0.239520958,0.245164682
Reunion,12,12,321,0.666666667,0.878504673,0.25,0.323987539
Romania,30,27,290.232,0.766666667,0.497753521,0.566666667,0.4001075
Russian Federation,199,126,2465313.621,0.567839196,0.236127027,0.341708543,0.157753523
Saint Helena,8,8,385.316,0.625,0.939488628,0.25,0.872011544
Saint Kitts and Nevis,18,17,9860.148,0.611111111,0.697661739,0.111111111,0.151799953
Saint Lucia,8,8,895,0.5,0.053631285,0,0
Saint Vincent/Grenadines,26,25,32967.197,0.576923077,0.650378223,0.230769231,0.146524832
Samoa,3,3,239,0.666666667,0.041841004,0.333333333,0.041841004
Sao Tome and Principe,20,20,3076,0.65,0.515279584,0.25,0.175552666
Saudi Arabia,100,100,56499,0.43,0.333085541,0.08,0.0526204
Senegal,77,76,517153.533,0.506493506,0.083060109,0.220779221,0.03889438
Serbia and Montenegro,8,8,0,0.75,NaN,0.375,NaN
Seychelles,24,23,3753,0.541666667,0.46309619,0.125,0.159605649
Sierra Leone,35,35,199860.842,0.514285714,0.376047575,0.228571429,0.187929955
Singapore,27,27,1433,0.814814815,0.788555478,0.296296296,0.329378925
Slovenia,30,26,289.435,0.433333333,0.249765923,0.233333333,0.042206368
Solomon Islands,6,6,123,0.5,0.162601626,0,0
Somalia,2,2,1100,0.5,0.454545455,0.5,0.454545455
South Africa,72,56,679040.104,0.527777778,0.623961674,0.166666667,0.004157339
Spain,434,216,418238.552,0.557603687,0.484495973,0.281105991,0.379588267
Sri Lanka,18,18,100080,0.277777778,0.620343725,0.111111111,0.253527178
St. Pierre and Miquelon,15,12,859.657,0.8,0.678518293,0.6,0.217701944
Sudan,1,1,0,0,NaN,0,NaN
Suriname,2,2,8100,1,1,0.5,0.061728395
Sweden,86,42,122655.342,0.523255814,0.110397434,0.290697674,0.037614676
Syrian Arab Republic,21,21,721,0.80952381,0.857142857,0.19047619,0.234396671
Taiwan Province of China,103,76,468596,0.650485437,0.331082638,0.262135922,0.240454464
Thailand,101,51,965825,0.524752475,0.431608211,0.198019802,0.113548521
Timor-Leste,5,5,76,0.8,0.802631579,0.4,0.565789474
Togo,35,35,10879.109,0.685714286,0.268128576,0.285714286,0.244505317
Tokelau,2,2,123,0.5,0,0,0
Tonga,5,5,256,0.6,0.73046875,0.2,0.0078125
Trinidad and Tobago,15,15,2576,0.533333333,0.461568323,0.2,0.437888199
Tunisia,59,55,76586.053,0.525423729,0.494581905,0.220338983,0.161010922
Turkey,62,58,264279.147,0.580645161,0.364996743,0.306451613,0.161051674
Turks and Caicos Is.,1,1,200,1,1,1,1
Tuvalu,1,1,0,1,NaN,0,NaN
Ukraine,47,42,81844.273,0.617021277,0.528361673,0.404255319,0.24464699
Un. Sov. Soc. Rep.,73,51,0,0.863013699,NaN,0.630136986,NaN
United Arab Emirates,32,32,56210,0.625,0.542608077,0.15625,0.198719089
United Kingdom,165,110,493178.335,0.503030303,0.254211469,0.242424242,0.083752578
United Republic of Tanzania,23,23,38877,0.652173913,0.828921985,0.173913043,0.1529439
Uruguay,37,36,46643.923,0.513513514,0.721680293,0.189189189,0.557350204
US Virgin Islands,14,14,310,0.642857143,0.587096774,0.142857143,0.022580645
USA,380,254,4661918.046,0.457894737,0.083410911,0.234210526,0.024828198
Vanuatu,12,10,57404.297,0.5,0.847092579,0.25,0.82089083
