"variable","delta_econ","sd_econ","delta_nut","sd_nut","delta_rel","sd_rel","delta_opp","sd_opp"
"country_name",0,0,0,0,0,0,0,0
"gross.production.ratio_norm",-0.0123728782667882,0.084377352182566,0,0,0,0,-0.00412429275559607,0.0281257840608553
"Q.trade.deficit_norm",-0.0132182456798321,0.0649945719600846,0,0,0,0,-0.00440608189327737,0.0216648573200282
"V.trade.deficit_norm",-0.0116893955082369,0.066390750075055,0,0,0,0,-0.0038964651694123,0.0221302500250183
"willingness_norm",0.0123266754053406,0.0765075140148563,0,0,0,0,0.00410889180178021,0.0255025046716188
"gdppc_norm",0.0249538440495166,0.0980073644813577,0,0,0,0,0.00831794801650553,0.0326691214937859
"energy_adequacy_norm",0,0,0.00220331354615026,0.0296373061540008,0,0,0.000734437848716758,0.0098791020513336
"protein_norm",0,0,0.0028830985115909,0.0412226017082323,0,0,0.000961032837196967,0.0137408672360774
"polyunsatFA_norm",0,0,-0.034732136178988,0.0610774192467959,0,0,-0.0115773787263293,0.020359139748932
"vitaminA_norm",0,0,-0.0249481677524068,0.0806890156475674,0,0,-0.00831605591746894,0.0268963385491891
"zinc_norm",0,0,-0.00478086630111091,0.0383618156288724,0,0,-0.0015936221003703,0.0127872718762908
"iron_norm",0,0,-0.0143910308358371,0.0647272497281475,0,0,-0.00479701027861236,0.0215757499093825
"calories_percentseafood_norm",0,0,0,0,-0.00536649972999929,0.0133356670344064,-0.0017888332433331,0.00444522234480213
"protein_percentseafood_norm",0,0,0,0,-0.00330894724655817,0.0184935484428587,-0.00110298241551939,0.00616451614761955
"polyunsatFA_percentseafood_norm",0,0,0,0,0.00142508659297506,0.0281724321847609,0.000475028864325019,0.00939081072825365
"vitaminA_percentseafood_norm",0,0,0,0,0.00803731206460937,0.0358989374717999,0.00267910402153646,0.0119663124906
"zinc_percentseafood_norm",0,0,0,0,0.00143648077182624,0.022452737143972,0.000478826923942085,0.00748424571465734
"iron_percentseafood_norm",0,0,0,0,-0.00222343245285321,0.0265700111825598,-0.000741144150951068,0.0088566703941866
