"rank","norm100","norm90","norm80"
1,"Maldives","Saint Lucia","Saint Lucia"
2,"Saint Kitts and Nevis","Saint Kitts and Nevis","Saint Kitts and Nevis"
3,"Saint Lucia","Grenada","Grenada"
4,"Grenada","Sri Lanka","Sri Lanka"
5,"Sri Lanka","Malaysia","Bahamas"
6,"Bahamas","French Polynesia","Barbados"
7,"Malaysia","Bahamas","Jamaica"
8,"French Polynesia","Barbados","Malaysia"
9,"Libya","Antigua and Barbuda","Thailand"
10,"New Caledonia","New Caledonia","French Polynesia"
108,"Honduras","Iran","Pakistan"
109,"Uruguay","Brazil","Cuba"
110,"Brazil","Cuba","Turkey"
111,"Costa Rica","Nicaragua","Mexico"
112,"Argentina","Mexico","Brazil"
113,"United States","Chile","Chile"
114,"Kuwait","Pakistan","Honduras"
115,"Turkey","Turkey","Nicaragua"
116,"Mexico","Mauritania","Mauritania"
117,"Mauritania","Argentina","Argentina"
